max_severity,ave_severity,sentence_time,sentence_served,repeat_offender,substance_use,support,education
3,2,112.6609011,82.42213109,1,0,0,4
2,1.333333333,50.85046505,21.61951901,0,0,0,1
1,1,12.10702458,1.181853207,1,1,1,1
3,1.75,43.63797741,11.94924626,1,1,0,1
2,2,22.6083167,19.27578987,0,1,1,2
2,1.4,65.4147923,42.04561768,1,0,1,2
4,2.333333333,48.41215429,47.93351383,1,1,0,4
1,1,19.12462993,2.239031977,1,0,1,3
1,1,21.88441732,12.41443407,0,0,0,1
3,2,92.3404833,60.37200965,1,1,0,1
2,2,20.70914675,22.73203847,0,1,1,2
2,2,18.77797141,11.62772179,0,1,1,1
2,1.5,44.63762623,47.66212823,0,0,1,2
4,3,98.86867752,22.65498096,1,1,1,3
4,2.5,68.05980262,20.25306031,0,0,1,4
4,1.6,184.012199,183.1732722,1,0,1,4
1,1,12.05217263,2.634659963,0,0,1,2
2,1.25,84.93065463,89.27909086,0,0,1,1
3,1.6,137.6654327,107.2038164,1,0,1,1
2,1.5,41.2074634,44.31983704,1,1,0,1
4,4,36.03235215,4.663374488,1,1,1,3
2,1.5,20.87835782,11.65950191,0,0,1,3
1,1,29.97947661,1.651018454,0,1,1,2
1,1,13.89396639,4.983884128,1,1,0,1
2,1.333333333,28.37907724,11.94201428,1,0,1,2
2,1.2,102.5255472,81.93099111,0,0,0,1
4,2,156.761016,103.7634351,1,0,1,3
3,2,59.99907842,19.34210143,1,1,1,1
3,1.4,89.34775218,53.9657815,1,1,0,1
3,2,75.58345137,63.73664031,0,0,1,1
4,2.25,204.951423,120.1276561,1,1,1,2
3,1.8,169.1434383,48.98632119,1,0,1,2
1,1,25.95139357,5.142862672,1,1,0,3
1,1,4.145764156,2.122748594,1,0,1,1
2,1.4,89.41320234,30.46538539,0,1,1,1
2,1.333333333,44.95643299,25.05656393,0,0,0,1
1,1,56.06723302,16.45003201,0,0,1,1
2,2,21.80448297,7.366836294,1,1,0,1
1,1,22.33455719,4.439518067,0,0,0,1
2,1.25,83.42830011,58.15986873,0,1,1,2
3,1.5,214.3762946,232.5369153,0,0,1,1
5,3.333333333,153.6393934,85.05219831,0,1,1,1
2,1.25,68.04310228,40.34459548,0,0,0,1
1,1,15.30250812,5.444659646,0,1,1,1
1,1,11.51184003,2.98721615,0,1,1,1
3,1.5,149.0969386,42.03848325,1,0,0,1
1,1,22.08802442,13.66390815,0,0,0,2
2,1.333333333,47.39225675,50.05870764,0,1,1,3
1,1,9.43155488,5.083918517,0,0,1,1
2,1.2,101.7788724,90.04312709,0,1,1,1
1,1,43.76913384,19.43251231,1,1,0,3
2,1.5,41.34749422,36.91615659,0,0,1,2
5,3,73.5806699,11.70608682,1,1,1,2
2,1.666666667,49.06170705,30.89787,0,0,1,4
1,1,21.50260766,22.12158702,1,0,1,2
1,1,9.270552243,2.828472956,1,0,0,2
4,2.666666667,95.44042468,35.43314714,0,1,1,1
3,1.666666667,92.15703329,54.24098672,1,1,1,1
1,1,6.970303495,1.99996942,0,1,1,4
1,1,11.84195624,12.04233348,0,0,1,3
2,1.5,53.93493744,54.33443974,1,0,1,1
3,1.5,229.435235,26.00013452,1,1,1,1
1,1,12.74188216,1.768454274,0,0,0,4
3,2,71.55295437,9.153199518,0,0,0,1
2,1.166666667,119.9702629,120.6480815,0,1,0,1
2,1.2,35.84063446,9.107295708,1,0,0,2
3,2,40.59643327,9.432741635,1,0,1,3
2,1.25,42.15967991,35.76086228,0,0,0,4
2,1.5,75.83301202,82.48647711,0,0,0,1
2,1.166666667,71.95747979,13.2050993,0,1,1,2
1,1,7.878489336,4.270140115,0,0,0,2
1,1,25.33831815,24.16339007,0,0,1,3
2,1.333333333,43.7679389,45.05137037,0,1,1,1
2,1.666666667,23.06756267,9.416861542,0,0,0,1
1,1,6.216222538,4.029829861,0,0,1,1
1,1,12.20546839,7.692996899,0,1,1,1
3,3,70.59312866,17.31194163,0,0,1,3
2,1.2,106.9174093,78.868493,0,0,1,1
1,1,20.99766212,3.08089931,1,1,1,2
1,1,9.819455574,4.180293199,0,1,0,1
1,1,19.6131056,4.508755882,1,0,1,1
3,2,95.57961148,76.50675828,0,0,1,3
1,1,6.3938728,2.423165596,0,1,1,1
3,1.75,147.0636241,105.617748,1,0,1,1
3,1.75,67.27795502,44.95301235,1,0,1,2
2,1.333333333,47.04986538,22.74194492,0,0,1,1
1,1,17.29208251,11.9573181,0,0,1,1
1,1,20.88699237,11.50199286,1,0,1,3
1,1,32.38916978,32.8296617,0,1,1,3
2,1.2,78.71318044,8.306990793,1,1,0,2
1,1,6.526787005,4.309757903,0,1,1,1
2,1.5,41.22627499,2.828063365,0,1,1,1
2,1.5,43.53794244,7.59337597,0,1,0,1
1,1,12.98175233,7.803906019,0,0,1,2
2,1.5,145.5434697,118.1998552,0,0,0,2
1,1,27.46433836,21.79746591,1,0,1,2
4,1.833333333,167.5419872,118.720426,1,1,1,1
1,1,17.45235846,1.294838326,0,0,1,1
4,2,150.9549425,101.0327528,1,0,1,1
1,1,8.819844044,7.468234689,0,0,0,2
1,1,19.98868658,20.83664008,1,0,0,1
2,1.333333333,69.42913655,18.40190904,1,0,1,1
2,2,28.47431122,18.06961524,1,1,0,1
2,1.5,108.1150475,11.35562852,0,0,1,2
2,1.5,28.89993785,16.15106379,0,0,1,2
1,1,7.504683862,5.438290188,0,0,1,1
1,1,23.76800423,11.70512625,0,0,1,1
1,1,49.94052296,31.91865108,0,0,1,4
1,1,6.716699824,1.551703588,0,0,0,1
2,1.25,97.05656711,98.67701105,0,0,1,1
2,1.666666667,36.73002133,20.85973107,1,0,1,2
4,4,46.15001769,39.54482418,0,0,1,4
1,1,8.632838877,7.089040329,0,1,1,3
1,1,9.350752651,3.870233108,0,0,1,2
1,1,22.39032339,11.25698677,1,0,1,4
2,2,21.33810028,22.04114027,0,0,0,2
1,1,3.334370734,2.326924055,0,1,1,2
2,1.5,30.99799197,19.90497785,0,1,1,1
1,1,19.16576578,17.26530116,0,0,1,4
1,1,18.71536142,2.331880188,0,0,0,1
1,1,11.41559155,8.882867744,0,0,0,3
3,1.6,105.5489197,55.37382235,0,0,0,1
1,1,16.67310529,1.632484592,0,1,0,2
2,2,9.516249382,6.892503565,0,1,0,1
1,1,10.83916259,1.44983784,0,1,1,1
2,1.5,17.0054641,12.48882943,0,1,0,1
2,2,15.14058815,9.9553485,0,0,1,1
1,1,3.109878136,1.379352762,1,0,1,2
1,1,22.13617081,4.746166191,0,0,1,1
1,1,10.98132975,6.791507123,0,1,1,1
1,1,8.620074531,6.838936804,0,0,0,1
3,1.428571429,207.9294203,115.0333582,0,0,1,2
1,1,22.15583301,5.3824572,0,0,1,1
5,2.25,134.5524867,143.0649573,1,1,1,3
1,1,4.946851081,2.556035231,0,0,1,2
1,1,11.96877538,1.064692278,0,1,0,2
4,2,209.6635251,63.68949433,1,0,1,3
1,1,44.38350175,15.50774277,1,1,0,2
2,2,16.35191102,5.767564285,0,0,0,1
1,1,17.08096031,5.258242166,1,0,1,1
1,1,24.08938357,12.51569964,1,0,1,2
1,1,5.323354509,5.54392126,0,0,0,1
1,1,38.03776723,17.95021645,0,0,0,1
1,1,9.699480672,1.112306033,0,0,0,1
1,1,7.000171302,3.712738947,0,0,0,2
1,1,5.651299265,0.458215885,0,0,1,3
2,2,25.7362375,14.33912601,0,0,0,2
2,1.4,118.054449,40.60818145,0,0,1,4
1,1,6.154871524,6.022497744,0,1,0,2
1,1,39.0463053,15.59826241,0,0,1,2
1,1,11.92642623,4.089380202,0,1,1,1
1,1,7.75931112,0.56025419,1,0,1,4
2,1.142857143,134.0486059,73.3720317,0,1,0,2
5,3.666666667,115.9359522,66.87601896,1,0,1,2
1,1,15.24205551,9.476629908,0,0,0,1
1,1,23.01567977,15.87515825,0,0,1,2
2,1.375,135.8395466,40.94992063,0,1,0,1
4,2.4,152.1300081,159.4859316,0,0,1,2
2,1.166666667,94.09376902,10.99839528,0,1,1,2
2,1.25,98.67725464,74.32231601,0,0,1,2
1,1,25.54092144,21.3112248,0,0,0,4
2,1.25,69.91323756,70.89384663,1,0,1,2
2,1.428571429,74.42846978,73.21687984,0,0,1,4
1,1,21.61131029,3.079945278,0,1,0,2
1,1,14.26723063,14.04551619,0,0,1,1
1,1,9.931613135,1.504338939,0,0,1,1
3,2,28.82805798,6.258980668,1,0,1,3
2,1.333333333,60.43500058,65.14628421,1,0,1,2
1,1,8.625795235,1.716966077,0,0,1,1
1,1,72.58180516,78.77634489,0,0,0,2
2,1.125,56.74556721,46.1685927,0,0,0,1
2,2,24.87906097,14.25487809,0,0,1,1
1,1,38.81126841,41.15604761,0,0,1,4
1,1,23.23353231,19.44938694,0,0,1,1
3,1.75,129.8928121,17.05111246,0,0,1,2
1,1,20.00944568,7.489851943,0,1,1,1
1,1,19.55682106,6.289970057,0,0,1,2
1,1,6.839105575,6.536771143,0,0,1,4
1,1,17.5817981,13.36144178,0,1,0,2
2,1.25,59.21110894,38.73908134,0,0,0,4
2,1.333333333,36.0337706,33.18386453,0,0,0,2
1,1,7.843848207,5.464799631,1,1,1,2
2,1.5,18.23531855,6.265649518,1,0,1,1
2,1.142857143,119.9617842,17.34228623,0,0,1,2
4,2.5,53.746831,18.35114403,0,0,1,2
2,1.4,41.37067076,8.100148522,0,1,1,1
2,2,26.17529713,7.785423993,1,0,1,2
4,1.6,104.0194457,47.85748017,0,1,1,1
1,1,18.24308405,13.49180196,0,0,1,1
1,1,12.36654226,1.988681702,0,0,0,1
1,1,13.50640633,9.704616911,1,1,1,1
3,1.8,83.56577467,48.71463224,1,1,1,3
1,1,15.21139756,10.69145838,0,0,1,1
2,1.333333333,37.49274354,3.580126984,0,1,1,1
4,1.6,116.2144532,112.8043852,1,1,1,2
2,1.25,91.67190787,93.03518906,1,0,1,1
2,1.25,96.44055222,60.29069899,0,0,0,2
1,1,15.90168281,8.075491526,1,0,1,1
2,1.333333333,18.15978813,16.80466878,0,1,1,1
1,1,35.06947382,18.70970803,0,0,0,2
5,2.666666667,128.9597953,19.57605691,0,1,0,1
1,1,17.57612213,17.29396777,1,0,1,3
3,2.5,62.71183526,53.62557377,1,0,1,2
2,1.5,31.83212132,33.64805906,0,0,0,1
1,1,15.98313029,1.195878842,0,0,1,1
3,1.6,159.6828493,175.2476918,1,0,0,4
2,2,13.2612041,14.09950295,0,0,1,1
2,1.333333333,22.68509821,24.19082146,0,0,0,2
1,1,30.19552289,10.80491331,1,0,0,2
2,1.333333333,71.24403034,18.063891,0,1,1,2
2,1.5,66.88789363,32.63110821,0,0,1,1
5,1.714285714,334.1923556,273.644877,0,1,0,1
2,1.5,33.27486403,16.74334225,0,0,0,1
1,1,14.58189799,5.718236367,1,0,1,1
5,3,197.0130943,205.7625766,1,1,1,2
2,1.2,83.94573109,87.81233084,1,0,0,1
1,1,4.87820685,1.12080168,0,0,1,2
2,1.333333333,115.077846,85.71578505,0,0,1,1
1,1,12.7050784,1.881864528,0,0,1,1
5,2,219.6518876,146.151801,0,0,1,1
1,1,36.94795644,11.16065483,0,0,1,1
1,1,4.279082081,4.556969636,0,0,0,2
1,1,11.88503832,9.293468403,1,0,1,3
2,1.5,82.72827143,90.5225877,1,1,1,2
2,1.5,17.62643047,17.11650272,0,0,1,1
1,1,9.075487711,1.121096417,0,0,1,1
1,1,8.578899771,5.935070109,0,0,0,3
2,1.25,40.45470786,7.59778954,0,1,1,1
4,4,15.53432735,3.488802049,1,1,0,2
3,1.666666667,140.0943891,107.9838834,1,1,0,1
4,1.8,130.4739126,98.13217322,1,1,1,1
2,1.166666667,37.49006078,21.40027053,0,0,0,4
3,1.5,76.10992793,27.51437556,1,0,1,2
2,1.5,13.72875676,5.877561743,0,0,0,1
3,1.75,81.72941365,17.97658703,0,0,1,2
1,1,5.627198185,0.563899493,0,0,0,1
2,1.166666667,63.2703438,33.46494926,0,0,0,1
3,1.5,189.794274,161.4459201,0,0,1,2
2,1.25,25.55097725,22.96428363,0,1,1,1
1,1,14.37366756,14.3775949,0,0,0,1
3,1.5,37.34932154,22.17152395,0,0,1,3
2,1.333333333,68.97040754,5.259298893,1,0,1,3
1,1,27.32166221,20.34632602,1,0,0,2
2,1.5,19.9333637,21.24344538,1,0,0,1
2,1.25,65.54894506,17.3769949,0,0,1,1
2,1.2,76.57609332,65.85270757,0,0,1,1
4,2.333333333,105.3340709,59.80476047,0,0,1,1
1,1,19.00924149,15.76464275,0,0,0,1
2,1.25,38.19599339,4.970865156,1,0,1,1
3,3,25.76287611,20.58875034,1,1,1,2
1,1,13.58025486,5.209624895,0,0,1,3
2,1.5,24.49407318,18.88087698,1,0,1,1
1,1,5.532359356,3.254419467,0,1,0,3
3,2,61.82685065,48.70555345,1,0,1,1
2,1.6,58.5966615,16.46214588,0,0,0,1
1,1,54.09804117,6.872489796,0,1,0,2
2,1.166666667,55.96951767,48.36736634,1,0,1,1
4,4,15.62215189,2.95755534,1,1,1,1
2,1.5,19.96435908,3.602359237,0,0,0,1
4,2,78.63020439,33.00827552,1,0,1,1
1,1,10.51791485,9.133895549,0,0,0,1
1,1,51.1417658,16.94507697,0,0,1,1
1,1,3.066815755,0.623054972,0,1,1,4
2,1.666666667,78.6563337,66.19869239,0,0,0,3
4,1.666666667,106.1291271,76.29457472,1,1,0,1
1,1,5.261847447,3.77560055,0,0,1,3
1,1,20.83810726,15.90712703,0,0,1,2
5,2.666666667,185.0389234,161.9125125,0,1,1,1
3,2.5,20.70636262,13.95066443,0,0,1,1
1,1,19.28969439,1.235840658,0,1,0,1
4,2.5,127.3530791,99.60965346,1,0,1,3
1,1,9.984991407,4.31873967,0,1,1,2
1,1,29.85290833,8.295424258,0,0,0,4
1,1,32.87931799,19.56029595,0,0,1,4
1,1,10.94709937,3.273668628,1,1,0,2
1,1,8.085981818,8.647940908,0,1,1,1
2,1.25,60.55645656,42.16662099,1,0,0,1
2,1.333333333,79.05051201,6.328437038,0,1,1,1
2,1.142857143,124.5775376,123.165349,0,0,1,3
2,2,21.14283954,5.559544424,1,0,1,1
2,2,20.24123915,20.32145754,0,1,1,1
1,1,21.41327348,21.0150564,1,0,1,1
2,2,16.61438626,7.916795349,0,0,1,2
1,1,26.5293021,27.51519198,0,0,1,1
1,1,9.240258074,8.129246252,0,0,1,1
3,1.833333333,98.65125546,97.42301885,1,1,0,4
1,1,13.54454207,2.825328145,0,0,0,1
1,1,5.805091047,1.408619834,0,1,0,1
1,1,19.43289395,19.79237015,0,1,1,3
4,1.75,110.3676481,32.77908681,1,0,1,2
2,1.333333333,29.74657797,2.686139726,1,0,1,2
4,1.5,120.4729949,112.2304865,0,1,1,1
2,1.25,84.48603575,21.51702694,0,1,1,1
2,1.5,49.66513165,47.60233322,0,0,0,3
2,1.4,123.3936669,101.0660306,0,0,1,2
1,1,26.26232299,19.52423059,1,0,1,2
5,2.666666667,181.6401393,32.2405506,1,1,1,3
3,1.5,37.3085506,19.13860449,0,0,1,1
4,2.5,152.1363596,118.5260668,1,1,1,2
4,1.6,64.60250849,29.48769238,1,1,0,2
5,1.833333333,228.2970078,174.2362653,1,1,0,1
2,1.333333333,60.33068941,18.3806698,0,0,1,3
2,1.666666667,24.2624915,25.72659448,0,0,1,2
1,1,7.896216382,3.53929032,0,0,1,2
4,4,26.93539532,19.77078669,0,1,1,2
4,1.6,121.6400656,116.6379622,0,1,0,1
2,2,19.64516991,14.79675807,1,1,1,3
1,1,8.510116451,7.859702588,0,1,1,3
2,1.333333333,153.9387195,155.3047929,1,0,0,4
2,1.5,24.25949043,18.45681889,0,0,1,1
2,2,22.60719846,2.383247162,0,0,1,2
1,1,12.3801852,8.582373195,1,0,1,1
1,1,27.18594538,5.060522516,0,0,1,3
2,1.333333333,25.79466739,16.89062702,0,1,1,1
3,1.666666667,71.50658519,37.33808952,1,1,1,2
1,1,10.27311434,3.0387307,0,0,0,2
3,1.666666667,78.40691263,5.800985856,1,1,0,3
2,1.25,55.30679356,26.6118189,1,1,0,1
3,1.5,65.50110945,31.48913366,0,1,1,1
1,1,24.6189878,13.37216037,0,1,1,1
2,1.142857143,51.4270342,30.67315671,0,1,1,2
3,1.4,173.5383843,179.8091916,0,1,1,2
1,1,32.96125401,15.67646242,1,1,1,1
2,1.6,43.37169428,7.315504912,0,0,1,3
4,2,100.1423456,29.82755155,0,0,0,1
4,4,35.90612756,32.60980651,1,1,1,1
2,2,17.20554125,13.45138659,1,1,0,1
4,2.333333333,145.9463487,157.0596076,0,0,1,1
5,2.333333333,181.1235518,37.42582295,1,0,0,1
4,2.5,55.15343115,12.94644674,1,0,1,2
1,1,26.65115592,25.80321424,1,0,0,4
2,1.2,83.79297259,49.72972161,0,0,0,1
1,1,35.4232758,37.89872869,0,0,1,1
2,1.5,34.82518674,24.63345853,1,0,0,2
1,1,10.42606995,2.046391891,1,1,1,2
1,1,12.23195583,11.79944184,0,0,1,1
4,1.5,132.5830348,124.4096102,0,0,1,2
3,1.5,135.2771623,9.455768664,0,0,0,2
5,2.5,148.3756971,69.4672682,1,1,0,4
2,1.333333333,138.8935858,25.35492126,0,0,1,1
1,1,24.12271602,17.11052513,1,0,0,4
2,2,24.45746897,25.05932292,0,0,1,1
1,1,7.13735659,5.220635049,0,0,0,1
1,1,20.58592552,20.48583639,0,0,1,1
3,3,39.05184257,20.36449771,0,0,1,1
1,1,10.97820834,7.782892628,0,1,1,2
1,1,24.88827411,25.49379414,0,0,1,2
1,1,20.00298198,15.07182334,0,0,1,2
2,2,18.35721446,5.241127564,1,0,0,1
1,1,20.90462179,11.03002453,0,0,1,2
1,1,25.77632198,5.119486515,1,0,0,2
2,1.333333333,72.80543181,20.60575639,0,1,1,3
2,1.25,27.67771618,19.66219457,1,0,1,4
1,1,3.856460261,0.506948241,1,0,1,2
1,1,99.56207524,90.96438576,0,1,0,1
2,1.5,25.37552503,7.982922634,1,1,1,2
1,1,24.59979038,4.265096196,0,0,0,2
1,1,16.97825627,11.04541919,0,1,1,1
1,1,63.13951671,28.23875952,0,1,0,1
2,1.2,66.58606798,4.392744513,0,0,0,2
2,1.5,100.4367182,17.0232509,0,0,1,2
4,3.5,68.07419856,20.30732911,1,1,1,2
1,1,5.152177053,5.573841978,0,1,1,1
1,1,7.228633118,4.006334663,0,0,1,4
4,1.8,181.6479354,39.11894278,0,0,1,2
4,1.8,135.7269875,44.48445598,0,0,1,2
3,1.5,67.19836712,13.74257544,1,1,0,2
1,1,7.422338791,2.233049478,0,0,1,2
1,1,15.13441337,12.19238124,0,1,1,1
4,1.75,161.9530436,162.8562277,0,0,1,1
4,2,246.9685079,187.7198029,1,0,0,1
2,1.25,68.71505579,51.61287349,0,0,0,1
2,1.5,18.1625765,19.31469769,1,0,0,3
4,2,96.24664755,43.63968412,1,1,1,2
2,1.5,30.88641159,32.08625115,1,0,1,3
2,1.333333333,142.2317399,38.48322539,0,1,1,2
1,1,11.99520475,6.441816137,0,0,0,3
1,1,18.87613892,7.428529329,0,0,1,2
2,1.5,35.95524063,21.77082177,1,1,1,2
1,1,8.529167769,1.774343828,0,0,1,1
2,1.4,38.21411858,32.39054658,1,1,1,1
2,1.333333333,58.67822825,29.36478376,0,0,0,1
2,1.5,47.92238587,30.37964611,0,0,1,2
1,1,17.16311822,12.95972148,0,0,1,1
4,2,176.5015073,21.49114834,0,0,1,1
1,1,17.22955359,14.00783054,0,0,0,4
1,1,52.61045061,25.82401641,0,1,1,1
3,2.666666667,76.96288045,13.33949475,1,0,1,4
1,1,7.90063231,1.606721633,1,0,1,3
1,1,14.7871618,4.071434791,0,1,1,4
2,1.5,46.16875901,45.9212243,0,0,1,2
1,1,13.18727325,11.45722112,1,0,0,1
4,2.5,111.0363724,61.03181848,1,1,1,4
2,1.25,53.57307594,32.96220459,0,1,1,2
1,1,9.410119505,2.456814768,0,0,0,1
1,1,24.15918003,1.349247287,0,1,1,1
1,1,41.82732803,6.467196088,0,0,1,1
3,1.5,92.26267177,98.38243164,1,0,0,3
5,2,176.4539464,123.2552478,1,1,0,2
2,1.25,56.85621426,56.33917826,0,1,1,1
2,1.333333333,52.26482395,46.15980101,0,0,1,3
3,1.666666667,112.1192737,116.8723909,1,0,1,1
4,2.5,69.0600147,22.40126604,1,1,1,3
3,2,35.4311539,33.47046181,0,1,0,1
4,2.25,117.6964099,105.1560808,1,1,0,4
5,2.333333333,221.4270647,37.19204745,1,0,1,2
1,1,7.384766426,2.526694474,0,1,1,1
2,1.25,41.14929619,6.946813196,0,0,0,2
3,1.571428571,91.28218272,53.34543094,0,1,0,2
2,1.142857143,49.24346686,45.78337737,0,1,1,1
4,2.5,56.83019694,50.69354852,1,0,1,1
5,4,62.43093767,26.61026213,1,1,1,2
1,1,5.459228673,3.06498166,0,0,1,2
4,1.833333333,195.5656474,173.2802351,0,0,1,1
2,2,34.11959431,14.68105653,1,1,1,1
3,2.333333333,53.85140433,47.34892541,1,1,1,2
