loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
Fully Paid,41000,Not Verified,10+ years,RENT,10.65,12400,credit_card, 36 months,B
Fully Paid,55596,Source Verified,2 years,RENT,9.91,10800,moving, 36 months,B
Fully Paid,45000,Verified,1 year,RENT,7.90,15000,debt_consolidation, 36 months,A
Fully Paid,36852,Source Verified,1 year,RENT,12.42,6000,debt_consolidation, 36 months,B
Fully Paid,27000,Verified,1 year,RENT,12.69,12500,debt_consolidation, 60 months,B
Fully Paid,68004,Source Verified,4 years,RENT,7.51,9600,other, 36 months,A
Fully Paid,62300,Not Verified,10+ years,RENT,7.90,12000,debt_consolidation, 36 months,A
Fully Paid,65000,Not Verified,9 years,MORTGAGE,18.25,3000,other, 36 months,D
Fully Paid,55000,Not Verified,10+ years,RENT,16.77,4400,debt_consolidation, 36 months,D
Fully Paid,45600,Not Verified,10+ years,MORTGAGE,6.03,6000,debt_consolidation, 36 months,A
Fully Paid,80000,Not Verified,6 years,RENT,9.91,14000,small_business, 36 months,B
Charged Off,1.00E+05,Source Verified,10+ years,MORTGAGE,8.90,5000,debt_consolidation, 36 months,A
Fully Paid,27000,Verified,6 years,RENT,10.65,10000,other, 36 months,B
Fully Paid,60000,Not Verified,10+ years,RENT,6.03,10000,credit_card, 36 months,A
Fully Paid,70000,Not Verified,5 years,RENT,6.62,11000,debt_consolidation, 36 months,A
Charged Off,80000,Not Verified,8 years,MORTGAGE,9.91,15000,debt_consolidation, 36 months,B
Fully Paid,110000,Verified,9 years,RENT,9.91,25600,credit_card, 36 months,B
Fully Paid,40000,Not Verified,< 1 year,RENT,10.65,7000,debt_consolidation, 36 months,B
Charged Off,50000,Not Verified,4 years,RENT,15.96,12000,car, 36 months,C
Fully Paid,46000,Not Verified,1 year,RENT,9.91,12000,credit_card, 36 months,B
Charged Off,50000,Verified,7 years,RENT,19.91,21000,debt_consolidation, 60 months,E
Fully Paid,81000,Verified,7 years,RENT,19.91,16000,credit_card, 60 months,E
Fully Paid,39000,Not Verified,< 1 year,OWN,12.42,10000,debt_consolidation, 36 months,B
Fully Paid,51400,Not Verified,2 years,RENT,10.65,10000,credit_card, 36 months,B
Fully Paid,33000,Verified,1 year,MORTGAGE,16.77,7100,debt_consolidation, 36 months,D
Fully Paid,30000,Source Verified,< 1 year,MORTGAGE,12.69,13000,debt_consolidation, 60 months,B
Fully Paid,40000,Verified,6 years,RENT,17.27,17500,small_business, 60 months,D
Fully Paid,50000,Source Verified,< 1 year,RENT,14.65,17675,debt_consolidation, 60 months,C
Fully Paid,62000,Not Verified,< 1 year,RENT,16.77,8000,debt_consolidation, 36 months,D
Charged Off,45996,Verified,10+ years,RENT,10.65,10000,debt_consolidation, 60 months,B
Fully Paid,55000,Not Verified,7 years,MORTGAGE,10.65,3500,debt_consolidation, 36 months,B
Charged Off,30000,Source Verified,5 years,RENT,17.27,12500,debt_consolidation, 60 months,D
Fully Paid,44544,Source Verified,4 years,RENT,14.27,16425,debt_consolidation, 36 months,C
Charged Off,75000,Source Verified,4 years,RENT,21.28,8200,small_business, 60 months,F
Fully Paid,61000,Verified,2 years,OWN,14.65,15000,credit_card, 36 months,C
Fully Paid,44000,Verified,5 years,MORTGAGE,17.58,20975,credit_card, 60 months,D
Charged Off,75000,Not Verified,5 years,RENT,16.77,6400,debt_consolidation, 36 months,D
Fully Paid,33600,Not Verified,1 year,RENT,13.49,3000,debt_consolidation, 36 months,C
Fully Paid,50000,Not Verified,3 years,RENT,16.77,12000,credit_card, 36 months,D
Fully Paid,150000,Source Verified,< 1 year,OWN,8.90,14400,debt_consolidation, 36 months,A
Fully Paid,90000,Not Verified,10+ years,RENT,14.65,12000,debt_consolidation, 36 months,C
Fully Paid,48000,Verified,10+ years,MORTGAGE,13.49,11000,debt_consolidation, 36 months,C
Fully Paid,75000,Verified,< 1 year,RENT,21.67,7250,debt_consolidation, 60 months,F
Fully Paid,52000,Not Verified,1 year,MORTGAGE,7.90,15000,small_business, 36 months,A
Fully Paid,65000,Not Verified,10+ years,MORTGAGE,19.91,18000,debt_consolidation, 60 months,E
Fully Paid,150000,Verified,3 years,MORTGAGE,17.27,35000,home_improvement, 60 months,D
Fully Paid,68000,Source Verified,2 years,RENT,14.27,10000,credit_card, 36 months,C
Fully Paid,42000,Source Verified,6 years,RENT,12.69,11800,credit_card, 36 months,B
Fully Paid,53000,Source Verified,4 years,RENT,6.03,4500,major_purchase, 36 months,A
Fully Paid,35000,Source Verified,10+ years,RENT,12.69,7000,credit_card, 36 months,B
Fully Paid,60000,Source Verified,2 years,RENT,12.42,9200,debt_consolidation, 36 months,B
Fully Paid,28000,Verified,4 years,RENT,17.27,14000,other, 60 months,D
Fully Paid,42000,Source Verified,< 1 year,MORTGAGE,10.65,4500,car, 60 months,B
Fully Paid,88365,Verified,9 years,RENT,16.29,12000,debt_consolidation, 36 months,D
Fully Paid,72000,Source Verified,4 years,RENT,13.49,12000,debt_consolidation, 36 months,C
Fully Paid,62000,Verified,< 1 year,RENT,10.65,12000,credit_card, 36 months,B
Fully Paid,43680,Not Verified,3 years,MORTGAGE,10.65,7000,credit_card, 36 months,B
Fully Paid,120000,Source Verified,3 years,RENT,19.42,8200,debt_consolidation, 60 months,E
Fully Paid,66000,Verified,10+ years,RENT,12.69,10500,medical, 36 months,B
Fully Paid,39120,Not Verified,4 years,OWN,11.71,7000,debt_consolidation, 36 months,B
Fully Paid,85000,Verified,6 years,RENT,22.06,15300,credit_card, 60 months,F
Fully Paid,47800,Verified,4 years,MORTGAGE,11.71,20000,debt_consolidation, 60 months,B
Charged Off,45000,Not Verified,7 years,MORTGAGE,17.27,17500,credit_card, 60 months,D
Fully Paid,83000,Verified,10+ years,MORTGAGE,6.03,3500,car, 36 months,A
Fully Paid,81000,Source Verified,< 1 year,RENT,12.69,6000,major_purchase, 60 months,B
Charged Off,25000,Not Verified,2 years,RENT,9.91,6200,debt_consolidation, 36 months,B
Fully Paid,65000,Not Verified,7 years,RENT,17.58,16000,debt_consolidation, 60 months,D
Fully Paid,28800,Not Verified,8 years,OWN,8.90,6000,debt_consolidation, 36 months,A
Fully Paid,135000,Not Verified,6 years,RENT,9.91,7200,credit_card, 36 months,B
Fully Paid,50000,Not Verified,7 years,MORTGAGE,8.90,9500,credit_card, 36 months,A
Charged Off,38000,Verified,10+ years,RENT,16.77,18825,debt_consolidation, 60 months,D
Fully Paid,45000,Verified,10+ years,RENT,10.65,24000,debt_consolidation, 36 months,B
Fully Paid,80000,Not Verified,10+ years,RENT,13.49,6000,debt_consolidation, 36 months,C
Fully Paid,50000,Not Verified,5 years,RENT,13.49,6000,debt_consolidation, 36 months,C
Fully Paid,30000,Not Verified,10+ years,MORTGAGE,12.42,2100,vacation, 36 months,B
Fully Paid,110000,Verified,8 years,MORTGAGE,6.62,5500,small_business, 36 months,A
Fully Paid,45608,Source Verified,8 years,OWN,6.62,11000,debt_consolidation, 36 months,A
Fully Paid,120000,Verified,3 years,MORTGAGE,20.89,26800,debt_consolidation, 60 months,F
Fully Paid,35000,Not Verified,5 years,MORTGAGE,12.69,8000,debt_consolidation, 36 months,B
Charged Off,75000,Source Verified,1 year,RENT,18.25,10000,credit_card, 36 months,D
Fully Paid,35000,Verified,9 years,MORTGAGE,11.71,8000,credit_card, 36 months,B
Fully Paid,24000,Verified,6 years,RENT,8.90,10000,debt_consolidation, 36 months,A
Fully Paid,126000,Not Verified,2 years,MORTGAGE,11.71,12000,debt_consolidation, 36 months,B
Fully Paid,43000,Not Verified,1 year,RENT,7.90,10000,debt_consolidation, 36 months,A
Fully Paid,50000,Not Verified,1 year,RENT,9.91,12000,debt_consolidation, 36 months,B
Charged Off,67000,Verified,10+ years,MORTGAGE,13.49,25000,credit_card, 60 months,C
Charged Off,45000,Verified,4 years,RENT,10.65,19750,debt_consolidation, 36 months,B
Fully Paid,31200,Source Verified,3 years,RENT,9.91,10000,debt_consolidation, 36 months,B
Fully Paid,66000,Verified,4 years,RENT,12.42,13650,debt_consolidation, 36 months,B
Charged Off,52000,Verified,10+ years,RENT,19.91,28000,debt_consolidation, 60 months,E
Fully Paid,56964,Source Verified,10+ years,RENT,7.90,18000,debt_consolidation, 36 months,A
Fully Paid,49500,Source Verified,7 years,RENT,14.27,2500,debt_consolidation, 36 months,C
Fully Paid,70000,Verified,10+ years,RENT,20.30,21000,credit_card, 60 months,E
Fully Paid,125000,Verified,6 years,MORTGAGE,8.90,35000,debt_consolidation, 36 months,A
Fully Paid,33000,Not Verified,3 years,RENT,7.51,10000,credit_card, 36 months,A
Fully Paid,30000,Source Verified,< 1 year,RENT,12.69,7000,credit_card, 36 months,B
Charged Off,90000,Source Verified,8 years,MORTGAGE,15.96,24000,home_improvement, 36 months,C
Fully Paid,23000,Not Verified,5 years,MORTGAGE,7.51,10625,medical, 36 months,A
Fully Paid,24000,Source Verified,2 years,RENT,14.65,5000,debt_consolidation, 36 months,C
Fully Paid,62000,Source Verified,10+ years,RENT,6.62,8850,credit_card, 36 months,A
Fully Paid,44000,Source Verified,4 years,RENT,7.51,6375,debt_consolidation, 36 months,A
Fully Paid,90000,Not Verified,1 year,RENT,11.71,6000,credit_card, 36 months,B
Charged Off,41000,Verified,10+ years,RENT,6.62,11100,credit_card, 36 months,A
Fully Paid,56000,Source Verified,2 years,MORTGAGE,12.69,10000,debt_consolidation, 60 months,B
Fully Paid,26500,Not Verified,5 years,MORTGAGE,6.03,6200,small_business, 36 months,A
Fully Paid,54000,Not Verified,1 year,RENT,18.64,15000,debt_consolidation, 36 months,E
Fully Paid,53000,Not Verified,2 years,RENT,11.71,4200,other, 36 months,B
Fully Paid,52800,Not Verified,4 years,RENT,14.27,14000,debt_consolidation, 36 months,C
Fully Paid,38000,Not Verified,1 year,MORTGAGE,7.51,8875,debt_consolidation, 36 months,A
Fully Paid,38000,Verified,7 years,RENT,9.91,13500,debt_consolidation, 36 months,B
Charged Off,42000,Not Verified,2 years,RENT,9.91,12000,debt_consolidation, 36 months,B
Fully Paid,55000,Verified,4 years,RENT,19.91,16000,debt_consolidation, 60 months,E
Fully Paid,60000,Source Verified,8 years,MORTGAGE,19.42,21600,debt_consolidation, 60 months,E
Fully Paid,87000,Not Verified,6 years,MORTGAGE,10.65,6000,home_improvement, 36 months,B
Fully Paid,25000,Verified,5 years,OWN,16.77,8450,debt_consolidation, 60 months,D
Fully Paid,82000,Not Verified,1 year,RENT,13.49,20000,credit_card, 60 months,C
Charged Off,60000,Not Verified,8 years,RENT,11.71,10000,debt_consolidation, 36 months,B
Fully Paid,80000,Verified,5 years,MORTGAGE,16.29,12000,credit_card, 36 months,D
Charged Off,25000,Verified,10+ years,RENT,13.49,13475,credit_card, 60 months,C
Fully Paid,48000,Not Verified,5 years,RENT,12.42,7200,major_purchase, 36 months,B
Charged Off,85000,Not Verified,1 year,MORTGAGE,14.65,5600,debt_consolidation, 36 months,C
Fully Paid,57000,Verified,< 1 year,RENT,14.27,12000,debt_consolidation, 36 months,C
Fully Paid,25000,Not Verified,2 years,RENT,6.03,8500,credit_card, 36 months,A
Fully Paid,34000,Source Verified,2 years,RENT,9.91,8000,credit_card, 36 months,B
Fully Paid,40000,Not Verified,10+ years,RENT,12.42,8000,credit_card, 36 months,B
Fully Paid,42656.4,Source Verified,10+ years,RENT,15.27,16000,debt_consolidation, 60 months,C
Fully Paid,44400,Source Verified,2 years,MORTGAGE,17.27,15000,house, 36 months,D
Fully Paid,30000,Not Verified,2 years,OWN,9.91,10000,debt_consolidation, 36 months,B
Fully Paid,70000,Not Verified,5 years,MORTGAGE,6.62,10000,credit_card, 36 months,A
Fully Paid,28000,Not Verified,3 years,RENT,14.65,8000,car, 36 months,C
Fully Paid,50000,Verified,2 years,MORTGAGE,9.91,22000,debt_consolidation, 36 months,B
Fully Paid,94800,Verified,10+ years,MORTGAGE,14.27,6000,car, 36 months,C
Fully Paid,40000,Verified,10+ years,OWN,9.91,16000,debt_consolidation, 60 months,B
Fully Paid,36000,Source Verified,2 years,MORTGAGE,9.91,13500,credit_card, 36 months,B
Fully Paid,225000,Verified,2 years,RENT,12.42,25000,debt_consolidation, 36 months,B
Fully Paid,45900,Verified,2 years,RENT,13.49,10000,small_business, 36 months,C
Fully Paid,27200,Not Verified,4 years,RENT,13.49,2500,debt_consolidation, 36 months,C
Fully Paid,42000,Not Verified,1 year,RENT,12.69,7325,debt_consolidation, 36 months,B
Fully Paid,135000,Verified,5 years,RENT,12.42,4000,credit_card, 36 months,B
Charged Off,65000,Not Verified,5 years,RENT,13.49,10000,small_business, 36 months,C
Charged Off,24000,Not Verified,< 1 year,RENT,17.27,7750,debt_consolidation, 36 months,D
Charged Off,70000,Source Verified,6 years,RENT,20.89,20000,debt_consolidation, 60 months,F
Fully Paid,65000,Verified,10+ years,RENT,12.42,9600,debt_consolidation, 36 months,B
Charged Off,60000,Not Verified,3 years,RENT,11.71,21000,debt_consolidation, 60 months,B
Fully Paid,30000,Source Verified,3 years,RENT,10.65,14000,credit_card, 36 months,B
Fully Paid,43000,Not Verified,10+ years,RENT,12.42,13350,debt_consolidation, 36 months,B
Charged Off,42000,Verified,10+ years,RENT,16.77,15000,debt_consolidation, 36 months,D
Charged Off,75000,Source Verified,8 years,RENT,17.27,15000,debt_consolidation, 36 months,D
Fully Paid,129000,Verified,10+ years,MORTGAGE,13.49,11000,debt_consolidation, 60 months,C
Fully Paid,168000,Verified,2 years,MORTGAGE,10.65,35000,debt_consolidation, 36 months,B
Fully Paid,74000,Source Verified,9 years,MORTGAGE,10.65,9000,credit_card, 36 months,B
Fully Paid,52000,Verified,7 years,MORTGAGE,15.27,22475,debt_consolidation, 60 months,C
Charged Off,58500,Source Verified,1 year,RENT,12.69,16000,debt_consolidation, 36 months,B
Fully Paid,71000,Source Verified,5 years,RENT,12.69,13500,debt_consolidation, 36 months,B
Fully Paid,75000,Verified,10+ years,RENT,12.69,24000,debt_consolidation, 36 months,B
Fully Paid,60000,Not Verified,5 years,RENT,10.65,12000,credit_card, 36 months,B
Fully Paid,87996,Not Verified,5 years,RENT,16.77,8400,major_purchase, 60 months,D
Fully Paid,140000,Verified,5 years,MORTGAGE,17.58,28000,home_improvement, 60 months,D
Fully Paid,66000,Source Verified,10+ years,RENT,6.62,14000,debt_consolidation, 36 months,A
Charged Off,70000,Not Verified,8 years,MORTGAGE,14.27,12000,other, 36 months,C
Fully Paid,1.00E+05,Verified,10+ years,MORTGAGE,11.71,25000,debt_consolidation, 36 months,B
Fully Paid,50000,Source Verified,5 years,RENT,12.69,9000,debt_consolidation, 36 months,B
Fully Paid,35000,Not Verified,4 years,RENT,10.65,13250,debt_consolidation, 36 months,B
Fully Paid,75000,Verified,6 years,RENT,13.49,20000,debt_consolidation, 36 months,C
Fully Paid,71000,Verified,5 years,RENT,14.65,3000,medical, 36 months,C
Fully Paid,48000,Not Verified,10+ years,MORTGAGE,10.65,7350,debt_consolidation, 36 months,B
Fully Paid,36000,Not Verified,5 years,RENT,15.27,11500,debt_consolidation, 36 months,C
Charged Off,86000,Not Verified,10+ years,MORTGAGE,12.42,13650,debt_consolidation, 36 months,B
Charged Off,30000,Source Verified,3 years,RENT,16.29,10500,debt_consolidation, 36 months,D
Fully Paid,60000,Not Verified,2 years,RENT,9.91,12000,debt_consolidation, 36 months,B
Fully Paid,34000,Not Verified,3 years,RENT,8.90,6000,credit_card, 36 months,A
Fully Paid,44200,Verified,10+ years,MORTGAGE,15.27,11500,credit_card, 36 months,C
Fully Paid,82000,Not Verified,7 years,MORTGAGE,12.42,7000,debt_consolidation, 36 months,B
Fully Paid,83000,Source Verified,6 years,MORTGAGE,20.30,29500,debt_consolidation, 60 months,E
Fully Paid,41000,Verified,2 years,RENT,15.27,2000,moving, 36 months,C
Fully Paid,36000,Source Verified,< 1 year,MORTGAGE,13.49,11625,credit_card, 36 months,C
Charged Off,35000,Verified,10+ years,RENT,14.27,15075,debt_consolidation, 36 months,C
Fully Paid,30000,Verified,1 year,RENT,15.27,5300,credit_card, 36 months,C
Fully Paid,40000,Source Verified,< 1 year,RENT,6.62,8200,home_improvement, 36 months,A
Fully Paid,105000,Not Verified,9 years,MORTGAGE,12.42,12000,credit_card, 36 months,B
Fully Paid,45000,Source Verified,4 years,MORTGAGE,14.27,8650,credit_card, 36 months,C
Fully Paid,109000,Verified,10+ years,MORTGAGE,17.27,21000,debt_consolidation, 60 months,D
Fully Paid,50000,Source Verified,2 years,RENT,17.27,16000,debt_consolidation, 60 months,D
Fully Paid,83000,Not Verified,2 years,RENT,12.42,12000,debt_consolidation, 36 months,B
Charged Off,52500,Source Verified,< 1 year,MORTGAGE,12.69,9500,moving, 36 months,B
Fully Paid,25000,Source Verified,< 1 year,OWN,13.49,7400,debt_consolidation, 36 months,C
Fully Paid,60000,Not Verified,10+ years,MORTGAGE,13.49,14400,debt_consolidation, 36 months,C
Fully Paid,120000,Verified,7 years,MORTGAGE,23.91,24250,debt_consolidation, 60 months,G
Charged Off,68000,Source Verified,3 years,RENT,7.90,7200,debt_consolidation, 36 months,A
Charged Off,53000,Verified,10+ years,MORTGAGE,16.77,26000,home_improvement, 60 months,D
Charged Off,69600,Verified,6 years,MORTGAGE,11.71,7000,credit_card, 60 months,B
Fully Paid,65000,Source Verified,< 1 year,RENT,7.51,4000,major_purchase, 36 months,A
Fully Paid,144000,Verified,10+ years,MORTGAGE,17.27,1500,debt_consolidation, 36 months,D
Fully Paid,75000,Verified,2 years,RENT,12.42,19600,credit_card, 36 months,B
Fully Paid,29000,Verified,7 years,MORTGAGE,11.71,2500,debt_consolidation, 36 months,B
Charged Off,70000,Not Verified,2 years,RENT,12.69,10000,credit_card, 36 months,B
Fully Paid,45000,Not Verified,5 years,RENT,6.62,10000,credit_card, 36 months,A
Fully Paid,55200,Not Verified,5 years,MORTGAGE,12.42,4225,other, 36 months,B
Fully Paid,61440,Not Verified,7 years,MORTGAGE,7.90,3500,vacation, 36 months,A
Fully Paid,56000,Not Verified,10+ years,MORTGAGE,6.62,12000,debt_consolidation, 36 months,A
Fully Paid,47000,Source Verified,< 1 year,RENT,8.90,16500,debt_consolidation, 36 months,A
Fully Paid,55000,Verified,< 1 year,RENT,21.67,22000,debt_consolidation, 60 months,F
Fully Paid,71000,Verified,1 year,RENT,14.65,12000,credit_card, 36 months,C
Charged Off,50000,Source Verified,10+ years,RENT,12.69,15600,vacation, 60 months,B
Fully Paid,135000,Verified,8 years,RENT,12.42,10800,credit_card, 36 months,B
Fully Paid,63000,Not Verified,10+ years,MORTGAGE,12.42,14000,credit_card, 36 months,B
Fully Paid,44000,Verified,4 years,MORTGAGE,17.58,18825,debt_consolidation, 60 months,D
Fully Paid,50000,Not Verified,5 years,MORTGAGE,13.49,6000,debt_consolidation, 36 months,C
Fully Paid,80000,Not Verified,5 years,RENT,9.91,12000,debt_consolidation, 36 months,B
Fully Paid,45000,Not Verified,4 years,RENT,12.42,10000,debt_consolidation, 36 months,B
Fully Paid,78000,Not Verified,2 years,RENT,7.90,8000,vacation, 36 months,A
Fully Paid,33000,Verified,1 year,RENT,9.91,14125,debt_consolidation, 36 months,B
Fully Paid,62800,Not Verified,5 years,RENT,12.69,14000,debt_consolidation, 36 months,B
Fully Paid,26400,Source Verified,3 years,RENT,17.27,13200,small_business, 60 months,D
Fully Paid,80000,Not Verified,10+ years,MORTGAGE,19.03,4000,vacation, 36 months,E
Charged Off,25000,Not Verified,2 years,RENT,12.69,4000,debt_consolidation, 36 months,B
Fully Paid,65000,Source Verified,10+ years,MORTGAGE,6.03,10500,debt_consolidation, 36 months,A
Fully Paid,59000,Source Verified,10+ years,OWN,7.90,5500,car, 36 months,A
Fully Paid,33000,Verified,1 year,RENT,11.71,7350,debt_consolidation, 36 months,B
Charged Off,39000,Source Verified,10+ years,RENT,12.42,10000,credit_card, 36 months,B
Fully Paid,42000,Not Verified,10+ years,RENT,7.51,12000,debt_consolidation, 36 months,A
Fully Paid,38004,Not Verified,5 years,MORTGAGE,11.71,5000,home_improvement, 60 months,B
Fully Paid,31000,Source Verified,3 years,OWN,11.71,8000,other, 60 months,B
Fully Paid,50700,Verified,10+ years,MORTGAGE,8.90,4500,other, 36 months,A
Fully Paid,75000,Verified,1 year,OWN,12.42,18000,credit_card, 36 months,B
Fully Paid,30000,Source Verified,2 years,MORTGAGE,13.49,12300,debt_consolidation, 60 months,C
Fully Paid,40000,Not Verified,6 years,RENT,13.49,12000,debt_consolidation, 36 months,C
Fully Paid,50000,Not Verified,10+ years,MORTGAGE,13.49,10000,credit_card, 36 months,C
Fully Paid,80000,Not Verified,7 years,MORTGAGE,7.90,6000,other, 36 months,A
Fully Paid,40000,Not Verified,4 years,RENT,12.69,12000,debt_consolidation, 36 months,B
Charged Off,80000,Not Verified,7 years,RENT,8.90,12000,other, 36 months,A
Fully Paid,75000,Source Verified,2 years,RENT,11.71,7000,debt_consolidation, 36 months,B
Fully Paid,85000,Verified,8 years,MORTGAGE,18.64,35000,debt_consolidation, 60 months,E
Fully Paid,28800,Not Verified,1 year,RENT,7.90,1400,other, 36 months,A
Charged Off,35000,Verified,10+ years,RENT,13.49,16000,small_business, 60 months,C
Fully Paid,61200,Not Verified,9 years,RENT,9.91,3200,debt_consolidation, 36 months,B
Fully Paid,40000,Not Verified,1 year,RENT,7.90,8000,medical, 36 months,A
Charged Off,25920,Source Verified,< 1 year,RENT,12.69,11875,debt_consolidation, 60 months,B
Fully Paid,54000,Not Verified,9 years,MORTGAGE,6.03,5000,home_improvement, 36 months,A
Fully Paid,18000,Not Verified,10+ years,RENT,6.62,1800,small_business, 36 months,A
Fully Paid,85000,Verified,5 years,RENT,8.90,35000,debt_consolidation, 36 months,A
Fully Paid,78000,Verified,5 years,RENT,8.90,18000,credit_card, 36 months,A
Charged Off,45600,Not Verified,10+ years,OWN,7.90,14000,debt_consolidation, 36 months,A
Fully Paid,70000,Not Verified,2 years,RENT,12.42,5000,debt_consolidation, 36 months,B
Fully Paid,70000,Source Verified,4 years,RENT,15.96,8000,credit_card, 36 months,C
Fully Paid,80000,Not Verified,9 years,MORTGAGE,6.03,10000,debt_consolidation, 36 months,A
Fully Paid,50000,Verified,5 years,RENT,7.51,10000,debt_consolidation, 36 months,A
Fully Paid,35000,Verified,10+ years,MORTGAGE,12.42,12000,debt_consolidation, 36 months,B
Fully Paid,65000,Verified,3 years,MORTGAGE,7.90,23200,debt_consolidation, 36 months,A
Fully Paid,84000,Verified,1 year,MORTGAGE,15.27,18000,credit_card, 60 months,C
Fully Paid,75000,Not Verified,10+ years,MORTGAGE,15.27,4800,debt_consolidation, 36 months,C
Fully Paid,35000,Not Verified,6 years,RENT,11.71,7300,debt_consolidation, 36 months,B
Fully Paid,40000,Source Verified,6 years,RENT,9.91,10400,debt_consolidation, 36 months,B
Fully Paid,1.00E+05,Not Verified,1 year,MORTGAGE,9.91,6600,house, 36 months,B
Fully Paid,40000,Not Verified,7 years,OWN,8.90,12000,debt_consolidation, 36 months,A
Fully Paid,52000,Verified,10+ years,RENT,17.27,13250,debt_consolidation, 36 months,D
Fully Paid,92500,Source Verified,3 years,RENT,11.71,12000,debt_consolidation, 36 months,B
Fully Paid,61000,Source Verified,9 years,RENT,9.91,25000,debt_consolidation, 36 months,B
Fully Paid,36000,Not Verified,10+ years,RENT,10.65,6000,other, 36 months,B
Fully Paid,68000,Not Verified,10+ years,MORTGAGE,7.51,12000,credit_card, 36 months,A
Fully Paid,80000,Not Verified,1 year,RENT,11.71,14400,credit_card, 36 months,B
Fully Paid,43000,Not Verified,10+ years,RENT,12.42,10000,credit_card, 36 months,B
Fully Paid,150000,Not Verified,1 year,RENT,11.71,8000,credit_card, 36 months,B
Charged Off,50000,Not Verified,5 years,RENT,16.29,8000,credit_card, 36 months,D
Charged Off,70000,Source Verified,3 years,RENT,12.42,30000,small_business, 60 months,B
Charged Off,40000,Not Verified,6 years,OWN,16.77,18000,home_improvement, 60 months,D
Fully Paid,35000,Not Verified,2 years,OWN,11.71,13250,credit_card, 36 months,B
Fully Paid,80000,Not Verified,6 years,RENT,14.27,14000,debt_consolidation, 36 months,C
Charged Off,59000,Verified,10+ years,OWN,20.30,20000,debt_consolidation, 60 months,E
Fully Paid,40000,Verified,10+ years,RENT,16.29,10000,credit_card, 36 months,D
Fully Paid,85000,Verified,5 years,RENT,20.30,35000,debt_consolidation, 60 months,E
Fully Paid,55000,Not Verified,1 year,RENT,6.03,4000,debt_consolidation, 36 months,A
Fully Paid,110000,Not Verified,6 years,RENT,9.91,13000,debt_consolidation, 36 months,B
