day,state,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost
2,WA,1,1,8,g,0.0,46,46,0,2.0,1.0,1,1,3,3,1,1,1,667
2,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,0,1,1,0,2,2,575
2,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,0,3,3,1,1,1,600
2,KY,1,0,3,f,3.0,58,58,0,3.0,11.0,1,1,3,3,1,1,1,605
3,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,3,3,0,0,2,564
3,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,585
3,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,590
3,NV,1,0,12,e,3.0,50,50,0,3.0,4.0,0,1,2,3,0,2,2,585
0,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570
0,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570
0,OH,1,1,6,e,0.0,54,48,1,1.0,2.0,0,1,1,3,0,1,2,570
1,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,3,3,1,2,3,622
1,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,2,3,629
1,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,630
1,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,624
1,FL,2,1,15,h,2.0,59,57,1,4.0,1.0,1,1,4,3,1,1,3,617
0,AL,1,1,26,c,1.0,75,75,0,1.0,3.0,0,0,1,1,0,0,2,551
0,AL,1,1,26,c,1.0,75,75,0,1.0,3.0,0,0,1,1,0,0,2,555
4,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,1,1,3,3,0,1,2,616
4,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,0,0,3,3,0,0,2,605
4,WA,1,1,14,e,2.0,68,68,0,3.0,5.0,0,0,3,3,0,0,2,597
3,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,631
3,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,638
3,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,638
3,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,628
3,PA,1,0,14,d,4.0,23,23,0,1.0,6.0,0,0,1,1,0,0,1,628
1,FL,1,0,7,g,2.0,24,24,0,2.0,3.0,1,1,1,3,1,2,3,691
1,FL,1,0,7,g,2.0,24,24,0,2.0,9.0,1,1,1,3,1,2,3,670
4,NV,2,1,1,g,2.0,54,50,1,3.0,15.0,2,1,3,3,1,1,3,591
4,NV,2,1,1,g,2.0,54,50,1,3.0,15.0,2,1,3,3,1,1,3,603
3,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,0,3,3,0,2,2,560
3,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,1,3,3,1,1,2,571
3,OH,1,1,17,c,3.0,40,40,0,3.0,5.0,1,1,3,3,1,1,2,583
1,NE,2,1,7,g,3.0,33,31,1,3.0,6.0,1,1,3,3,1,2,2,597
1,NE,2,1,7,g,3.0,33,31,1,3.0,6.0,1,0,3,3,0,2,1,581
3,AR,1,0,5,d,0.0,28,28,0,2.0,4.0,1,0,2,2,0,0,2,644
3,AR,1,0,5,d,0.0,28,28,0,2.0,4.0,1,0,2,2,0,0,2,644
0,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,0,0,1,1,0,0,2,517
0,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,0,0,1,1,0,0,2,517
0,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,1,1,2,1,1,2,2,613
0,OK,1,0,13,e,3.0,44,44,0,1.0,8.0,1,1,2,1,1,2,2,616
1,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,0,3,3,0,2,2,605
1,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,0,3,3,0,2,2,605
1,CO,1,0,12,g,4.0,23,23,0,4.0,5.0,1,1,4,3,0,2,2,615
4,MO,2,0,9,d,0.0,49,49,0,3.0,14.0,1,1,2,3,0,1,3,616
4,MO,2,0,9,d,0.0,49,49,0,3.0,14.0,1,1,2,3,0,1,1,598
0,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,2,639
0,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642
0,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642
0,TN,1,1,13,f,0.0,57,57,0,2.0,2.0,1,1,2,2,1,1,1,642
3,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,2,2,0,2,4,693
3,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,2,2,0,2,3,675
3,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,3,3,0,2,3,670
3,OH,4,0,0,f,3.0,65,27,1,3.0,6.0,1,0,3,3,0,2,3,675
3,OK,1,1,14,f,0.0,20,20,0,0.0,0.0,0,0,1,1,0,0,2,647
3,OK,1,1,14,f,0.0,20,20,0,0.0,0.0,1,0,1,2,0,2,2,751
3,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
3,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,690
3,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
3,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
3,OK,1,1,14,f,0.0,20,20,0,1.0,4.0,1,0,1,2,0,2,2,677
2,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,4,649
2,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,4,649
2,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,1,2,3,1,1,1,630
2,ME,1,0,2,e,4.0,27,27,0,1.0,2.0,1,0,2,3,0,1,1,622
0,KY,1,0,7,e,0.0,29,23,1,1.0,2.0,1,0,3,3,0,2,1,665
0,KY,1,0,7,e,0.0,29,23,1,1.0,2.0,1,0,1,3,0,2,1,645
0,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,1,1,0,2,3,693
0,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,1,1,0,2,3,693
0,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714
0,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714
0,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,714
0,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,729
0,FL,2,0,0,f,2.0,28,22,1,3.0,1.0,1,0,3,3,0,2,3,729
0,CO,2,1,5,e,0.0,44,42,1,2.0,5.0,1,0,1,1,0,2,2,574
0,CO,2,1,5,e,0.0,44,42,1,2.0,5.0,1,0,1,1,0,2,2,574
3,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,2,0,3,3,0,3,3,584
3,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
3,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
3,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
3,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
3,OH,2,1,12,e,4.0,60,57,1,3.0,4.0,1,1,3,3,0,1,3,599
2,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,1,0,3,3,1,1,1,619
2,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,1,0,3,3,1,1,2,638
2,ME,1,0,8,f,0.0,57,57,0,2.0,3.0,0,0,3,3,0,0,2,591
3,UT,2,1,3,d,0.0,50,19,0,0.0,0.0,1,0,2,2,0,2,2,749
3,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,2,2,0,2,1,657
3,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,2,2,1,1,1,660
3,UT,2,1,3,d,0.0,50,19,0,1.0,3.0,1,0,1,2,1,1,1,656
4,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,0,0,1,1,0,0,2,529
4,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,0,0,1,1,0,0,2,529
4,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,3,3,1,2,3,625
4,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,3,3,1,2,3,629
4,OH,1,0,15,c,0.0,75,75,0,1.0,9.0,1,0,2,2,1,2,3,629
3,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,1,3,3,1,1,2,669
3,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,0,1,2,0,1,2,652
3,OH,1,0,7,g,0.0,39,39,0,1.0,4.0,1,0,1,2,0,1,3,668
5,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,2,695
5,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,2,695
5,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,640
5,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,641
5,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,635
5,FL,1,1,1,e,2.0,28,28,0,1.0,9.0,1,0,1,1,0,2,3,628
0,PA,1,0,10,f,0.0,42,42,0,1.0,1.0,1,0,3,2,0,2,1,685
0,PA,1,0,10,f,0.0,42,42,0,1.0,1.0,1,0,3,2,0,2,1,676
4,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,1,0,2,3,0,2,1,664
4,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,1,0,2,3,0,2,1,673
4,KY,1,0,16,d,0.0,48,48,0,2.0,1.0,0,0,2,3,0,2,1,659
1,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,4,676
1,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670
1,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670
1,NY,1,0,1,g,1.0,49,49,0,3.0,15.0,1,1,3,2,1,0,2,670
0,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,597
0,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,599
0,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603
0,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603
0,FL,1,1,6,e,2.0,75,75,0,2.0,15.0,1,0,2,2,1,1,4,603
4,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,1,661
4,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,3,674
4,GA,2,0,4,e,0.0,25,25,1,3.0,4.0,1,1,3,3,1,1,3,674
2,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,0,0,1,1,0,0,4,574
2,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,1,1,2,3,0,2,2,621
2,AL,2,1,12,f,0.0,43,37,1,1.0,2.0,1,1,2,3,0,2,2,621
1,CO,2,1,6,g,3.0,34,33,1,3.0,7.0,1,1,3,3,1,2,4,624
1,CO,2,1,6,g,3.0,34,33,1,3.0,7.0,1,1,3,3,1,2,2,627
2,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,0,1,1,0,2,3,644
2,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,1,1,1,0,2,3,636
2,FL,1,1,7,f,2.0,35,35,0,1.0,15.0,1,1,1,1,0,2,3,642
5,OK,1,1,17,f,0.0,33,33,0,0.0,0.0,0,0,1,1,0,0,2,588
5,OK,1,1,17,f,0.0,33,33,0,0.0,0.0,0,0,1,1,0,0,2,588
5,OK,1,1,17,f,0.0,33,33,0,1.0,1.0,0,0,1,1,0,0,4,583
0,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,0,0,1,2,0,0,2,552
0,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,2,617
0,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,3,621
0,NY,1,1,4,e,1.0,60,60,0,3.0,7.0,1,1,3,3,1,0,3,625
4,WA,1,0,11,g,0.0,43,43,0,1.0,2.0,1,0,1,2,0,1,1,689
4,WA,1,0,11,g,0.0,43,43,0,1.0,2.0,1,0,1,2,0,1,1,683
2,TN,1,1,21,d,3.0,60,58,1,2.0,15.0,1,1,3,3,0,2,3,563
2,TN,1,1,21,d,3.0,60,58,1,2.0,15.0,0,1,2,3,0,0,2,513
3,KY,1,1,14,f,4.0,24,24,0,3.0,8.0,1,1,2,2,1,2,4,630
3,KY,1,1,14,f,4.0,24,24,0,3.0,8.0,1,1,2,2,1,2,4,621
1,FL,1,1,4,f,2.0,32,32,0,4.0,1.0,2,0,3,3,0,3,3,686
1,FL,1,1,4,f,2.0,32,32,0,4.0,1.0,2,0,3,3,0,3,3,686
4,NY,2,1,6,d,2.0,63,63,1,3.0,8.0,0,0,3,3,0,0,2,626
4,NY,2,1,6,d,2.0,63,63,1,3.0,8.0,1,1,3,3,1,0,1,660
4,FL,2,1,1,g,1.0,63,62,1,4.0,1.0,1,0,3,3,1,2,4,607
4,FL,2,1,1,g,1.0,63,62,1,4.0,1.0,1,0,4,3,1,1,3,648
0,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,1,1,3,3,1,1,4,633
0,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,627
0,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,627
0,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,634
0,PA,1,0,7,h,2.0,54,54,0,3.0,9.0,2,1,3,3,1,3,4,634
1,CT,1,1,7,e,4.0,45,45,0,4.0,14.0,1,0,3,3,0,0,1,617
1,CT,1,1,7,e,4.0,45,45,0,4.0,14.0,1,0,3,3,0,0,1,618
4,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,629
4,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,631
4,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,634
4,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,631
4,FL,1,1,6,h,2.0,75,75,0,3.0,10.0,1,0,3,3,1,1,3,631
1,FL,1,0,7,i,4.0,45,45,0,3.0,13.0,2,0,1,1,0,3,4,700
1,FL,1,0,7,i,4.0,45,45,0,3.0,13.0,2,0,1,2,0,3,4,696
1,FL,1,0,7,i,4.0,45,45,0,3.0,13.0,2,0,1,2,0,3,4,696
3,OH,1,0,2,f,0.0,58,58,0,3.0,15.0,1,0,3,3,0,2,3,644
3,OH,1,0,2,f,0.0,58,58,0,3.0,15.0,1,0,3,3,0,2,3,643
3,OH,1,0,2,f,0.0,58,58,0,3.0,15.0,1,0,3,3,0,2,3,639
0,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,1,1,1,2,1,2,2,698
0,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,629
0,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,638
0,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,622
0,PA,1,0,13,c,0.0,48,41,1,1.0,1.0,0,0,1,2,0,0,1,621
4,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,622
4,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,628
4,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,622
4,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,642
4,OH,1,0,5,e,0.0,29,29,0,2.0,1.0,2,0,2,2,0,3,3,622
2,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,4,640
2,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,4,640
2,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,4,640
2,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,2,637
2,WI,1,1,5,d,0.0,51,51,0,3.0,15.0,2,1,3,3,1,1,3,643
0,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,605
0,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,614
0,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,614
0,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,621
0,OR,1,0,4,f,4.0,44,44,0,4.0,5.0,1,1,3,3,0,1,2,614
2,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,1,1,3,3,0,2,1,647
2,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,1,1,3,3,0,2,1,628
2,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,2,1,1,2,0,3,1,596
2,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,2,1,1,2,0,1,1,605
2,UT,1,0,10,f,0.0,21,21,0,1.0,4.0,2,1,1,2,0,1,1,605
2,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,4,547
2,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
2,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
2,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
2,OK,1,0,27,e,4.0,22,22,0,3.0,7.0,0,0,1,1,0,0,1,536
4,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,0,3,3,0,1,3,690
4,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,670
4,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
4,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
4,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
4,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
4,OR,1,0,6,e,0.0,23,23,0,3.0,8.0,1,1,2,3,0,1,1,679
1,UT,2,1,14,,0.0,46,43,1,0.0,0.0,1,1,1,2,0,1,2,681
1,UT,2,1,14,,0.0,46,43,1,0.0,0.0,0,0,1,2,0,0,2,599
1,UT,2,1,14,g,0.0,46,43,1,1.0,1.0,0,0,1,2,0,0,2,572
3,ID,2,0,3,d,1.0,58,23,0,3.0,2.0,1,1,3,3,0,2,4,634
3,ID,2,0,3,d,1.0,58,23,0,3.0,2.0,1,1,3,3,0,2,4,634
3,ID,2,0,3,d,1.0,58,23,0,3.0,2.0,1,1,3,3,0,2,4,634
4,KY,1,0,2,d,2.0,32,32,0,2.0,2.0,1,1,1,3,1,2,4,615
4,KY,1,0,2,d,2.0,32,32,0,2.0,2.0,1,1,1,3,1,2,4,621
0,AR,2,1,10,f,0.0,46,21,0,0.0,0.0,0,0,1,1,0,0,2,622
0,AR,2,1,10,f,0.0,46,21,0,1.0,6.0,0,0,1,1,0,0,4,599
4,FL,1,0,7,d,3.0,23,23,0,1.0,5.0,1,1,3,3,1,1,3,744
4,FL,1,0,7,d,3.0,23,23,0,1.0,5.0,2,0,1,3,0,3,3,706
2,GA,1,0,3,e,0.0,55,55,0,1.0,9.0,1,1,3,3,1,2,2,708
2,GA,1,0,3,e,0.0,55,55,0,1.0,9.0,1,1,2,3,1,2,2,692
3,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,0,1,1,599
3,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,1,1,3,610
3,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,1,1,3,610
3,NH,2,1,1,f,4.0,75,75,1,3.0,1.0,1,0,3,3,0,1,1,591
3,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,1,0,2,2,0,2,2,626
3,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,1,0,2,2,0,2,2,626
3,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,0,0,2,2,0,0,2,570
3,WI,1,0,19,d,0.0,29,29,0,2.0,4.0,0,0,2,2,0,0,2,570
2,GA,1,1,2,f,0.0,37,37,0,1.0,5.0,0,0,2,2,0,0,4,572
2,GA,1,1,2,f,0.0,37,37,0,1.0,5.0,1,1,2,2,1,2,4,635
0,NY,1,1,5,d,2.0,54,54,0,4.0,0.0,1,0,3,3,0,0,1,629
0,NY,1,1,5,d,2.0,54,54,0,4.0,0.0,1,0,3,3,0,0,2,632
0,NY,2,1,5,d,2.0,75,54,0,4.0,0.0,1,0,3,3,0,0,2,688
0,NY,1,1,5,d,2.0,75,54,0,4.0,0.0,1,0,3,3,0,0,2,643
4,ME,1,0,9,e,0.0,53,53,0,2.0,11.0,0,0,2,2,0,0,1,544
4,ME,1,0,9,e,0.0,53,53,0,2.0,11.0,1,0,2,2,0,2,1,586
4,TN,1,0,8,g,0.0,42,42,0,1.0,2.0,1,1,1,3,1,2,2,662
4,TN,1,0,8,g,0.0,42,42,0,1.0,2.0,1,1,1,3,1,2,2,662
4,TN,1,0,8,g,0.0,42,42,0,1.0,2.0,1,1,1,3,1,2,2,665
1,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,667
1,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,665
1,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,665
1,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,651
1,NY,2,1,2,d,1.0,75,75,1,3.0,5.0,1,0,3,3,0,0,2,652
0,OH,3,1,15,g,0.0,42,18,1,3.0,1.0,0,0,3,3,0,0,2,614
0,OH,3,1,15,g,0.0,42,18,1,3.0,1.0,0,0,3,3,0,0,2,614
2,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,4,595
2,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,3,592
2,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,3,595
2,FL,1,1,3,f,1.0,42,42,0,1.0,15.0,1,0,1,3,1,2,3,595
4,MO,1,0,4,f,3.0,28,28,0,3.0,1.0,1,1,3,3,0,2,2,602
4,MO,1,0,4,f,3.0,28,28,0,3.0,1.0,1,1,3,3,0,2,2,602
2,TN,1,1,3,f,0.0,50,50,0,1.0,6.0,1,0,2,2,0,2,3,624
2,TN,1,1,3,f,0.0,50,50,0,1.0,6.0,1,1,1,1,1,2,1,619
2,OH,1,0,10,e,0.0,35,35,0,1.0,4.0,1,1,3,3,1,1,3,636
2,OH,1,0,10,e,0.0,35,35,0,1.0,4.0,0,0,2,3,0,1,3,595
2,IA,1,0,8,f,0.0,37,37,0,4.0,3.0,1,0,3,3,0,2,2,570
2,IA,1,0,8,f,0.0,37,37,0,4.0,3.0,1,0,3,3,0,2,2,570
2,IA,1,0,8,f,0.0,37,37,0,4.0,3.0,1,0,3,3,0,2,2,567
