ID,TEXT,SENTIMENT
41165634,"Also, I belive there is a software update to help with hard/aggressive downshift in the 10 speed. Could that update be applied? The downshift is pretty violent at highway speed. ",NEUTRAL
10000025,"I liked it very much. Great service provided, starting from check in and full video of vehicle service. 
Thank You !",NEUTRAL
41165638,To book another appt?,NEUTRAL
41165632,"Liked “Moring, Mrs. Godzik. This is Brian from White Alle…”",NEUTRAL
41165619,Can you rotate tires today or do I need a separate,NEUTRAL
10000029,"hmm, that's odd.

but okay thanks! I'll be in around noon!",NEUTRAL
10000030,"Efrain/Eli -- this is Bill Egner, Laurie's husband. We received your text. Thank you for checking into the situation. I guess I need to bring my car in Friday so you can run the diagnostics on it. Is that acceptable? Is there a cost?",NEUTRAL
10000031,Thank you. I am working until 3 today. I don't have any breaks so I won't be able to answer until I'm finished with my day.,NEUTRAL
41165527,They only approved for 370.00?,NEUTRAL
41165523,does the tire have to be an exact match? is there an alternate you can use?,NEUTRAL
41783533,No,NEUTRAL
10000032,"New tires - no

Brake fluid exchange - no

Fuel induction - no 

Caster/camber with alignment - yes 

Trans fluid exchange - yes

Water pump - yes ",NEUTRAL
41165474,If you could include that as well it would be great,NEUTRAL
41165473,Go ahead and replace it. Any idea when the car would be ready for pick up?,NEUTRAL
10000033,I was approved for a payment plan so I think I would like to go that route. Wondering if there's any wiggle room with the cost / parts?,NEUTRAL
41775092,No problem,NEUTRAL
10000034,Hey good morning would I be able to bring it tomorrow morning and just sit there until it's done because I don't have a ride!,NEUTRAL
10000035,"How is the car coming?
Norman",NEUTRAL
41165443,Thursday the 2nd March. Mid day?,NEUTRAL
41783771,10,NEUTRAL
10000036,"Today I just want to do battery, oil change and spark plugs. The recommended can wait until I'm in town again. I can get the link to let me approve those items. ",NEUTRAL
10000038,"I also forgot to ask before leaving, will I still get a March inspection sticker since that's the month I have currently?",NEUTRAL
10000039,"Hi, let's postpone brake pads for next time . ",NEUTRAL
10000040,i got them from hibby's garage in sackville,NEUTRAL
41165397,Will I get a text when the car is ready?,NEUTRAL
41165389,"Hi , how long will take to do service and which one  do you recommend to do right away . Not prepared to spend $3500",NEUTRAL
41165390,So alternator is the issue?,NEUTRAL
41165352,What time does the service department close?,NEUTRAL
41165372,Interesting. I do have the extended warranty. Is the battery covered?,NEUTRAL
41165368,Did they pick my car up already?,NEUTRAL
41165357,You can do both please,NEUTRAL
41165351,"ok, do you have a new one?",NEUTRAL
10000044,I'm going to give them a call today,NEUTRAL
41165328,Can you run it through the car wash please,NEUTRAL
41165326,Vin number 5NPE34AFXFH194345,NEUTRAL
41165294,How much would the alignment be?,NEUTRAL
10000047,"No worries! I'm coming in for an oil change, I made an appointment yesterday",NEUTRAL
41165249,Not sure I got a survey in my email?,NEUTRAL
10000048,"Hi I'd have to ask my husband, but he is currently in a meeting. When it happened while I was driving, it seemed to happen when it was really cold. It wasnt consistent from when we picked the car up from the first appointment when the brakes were changed. It started after the second appointment when the brake fluid was flushed. Could that have something to do w it? ",NEUTRAL
41165217,Please replace rubber inserts on wipers,NEUTRAL
10000049,Hi! I wanted to see about a trade value in if we were to purchase something new. What's the best way to discuss that? Come in?,NEUTRAL
41165185,Going to need a loaner if possible.,NEUTRAL
41165180,Any news on that quote?,NEUTRAL
41783659,Opted Out,NEUTRAL
41165159,Can we go ahead and replace the cabin filter?,NEUTRAL
41165153,Thank you. Please proceed.,NEUTRAL
41165144,Thank you! I will be there this afternoon!,NEUTRAL
10000051,"Can I get the adblue quote and engine diagnosis quote with all my and car information emailed or fax to my warranty place. 
Best Extended
888-227-1222 phone
800-886-3594 fax
bestextended@byrider.com 
(tina)
12802 Hamilton Cros
sing Blvd 
Carmel, IN 46032",NEUTRAL
41665386,Is my truck ready?,NEUTRAL
41165119,Is rather urgent,NEUTRAL
10000052,"Integrity Warranty
[Mobile] +1 877-483-6659",NEUTRAL
41165105,No im fine thank you,NEUTRAL
10000053,"Not yet, I'm in a meeting until 11:30",NEUTRAL
10000055,"I forgot to ask yesterday the cost of the 60,000 Mile servicing that I will need in 4000 miles.    Since I have the gold oil change you said the oil change would be deducted. 
Thx 
MAddy Webster 2017 Mazda 3 sedan. 781-571-1219",NEUTRAL
41775883,9,NEUTRAL
41165028,I will pick up car tomorrow morning around 7:30am - Katie Lawrence,NEUTRAL
41165019,Thanks for the offer but I will skip the wash,NEUTRAL
41165015,7753402001,NEUTRAL
41165011,My window is still messed up.  The first time I tried to close it it came right down.  I mentioned the auto control on the window needed to be reset to fix.  I will do the reset myself to see if it fixes it.,NEUTRAL
41164971,Chrissie how are things looking,NEUTRAL
10000056,pdate if you don't mind,NEUTRAL
10000057,Ok I'll pass on alignment then. Thanks,NEUTRAL
10000058,"Hi Ron. Eric Simms here. I'm going to be working in the ER today and I don't have good cell signal there.

You can call my Dad, Timothy Simms, with the u",NEUTRAL
10000059,"Yes, it's 1-800-227-7253",NEUTRAL
41164945,can i please have your shuttle pickup at lik 10:30 p,NEUTRAL
41164937,I just signed off on that but you can wait on the wipers,NEUTRAL
10000060,Ok I'l check in my inbox n spam and wil do it asap...,NEUTRAL
41777009,Is my car ready?,NEUTRAL
41164907,Yes change rotors as well. Thx,NEUTRAL
41164882,"Okay, sure ",NEUTRAL
41164884,Are you replacing the engine filter too?,NEUTRAL
10000063,Just do the lug bolts. We'll worry about the caps some other time. Thank you,NEUTRAL
41164880,What specifically do you need?,NEUTRAL
41164878,I will be in to pick up my car around noon today,NEUTRAL
10000064,Let me check with whose temp vehicle I have and I'll get back to you,NEUTRAL
41164856,Le devolví la llamada,NEUTRAL
10000065,"Is the 30,000 mile service covered on my service plan? I just replaced wiper blades recently on front and rear, so I don't need those. How much for front brakes? How much for tires? I usually buy my tires somewhere else, but am willing to see your price. Otherwise, I'll replace the tires. Are the locks and rear passenger window fixed? Thanks. ",NEUTRAL
10000066,I'm with Integrity Warranty,NEUTRAL
41774727,Unstop,NEUTRAL
41164826,I will be in the area this morning so I can pickup my vehicle at the service center,NEUTRAL
10000067,"Thanks for letting me know. 

If I choose to change those can that be done now or it has to be scheduled for another time/day?",NEUTRAL
41164812,"Can you send me an itemized bill for the work on the car for the $2,000?",NEUTRAL
41164781,What is the AC service? You serviced the AC last year.,NEUTRAL
10000068,"I forgot to ask that, I'm so sorry! ",NEUTRAL
41164753,"Hey Chrissie
I need 4 new tires for my Avalon 2016 XLE Premium. 
I like ExtremeContact DISO6 PLUS
I like to make sure it is plus version. 
With your current promotion 
Will you please give me a quote installed and alignment in addition. 
Frederik Winther
Fwinther1320@gmail.com",NEUTRAL
41164745,What is Statius of truck???,NEUTRAL
10000069,Do y'all do inspections here?,NEUTRAL
41164658,"Sorry, I have been sick. This will be done today. I will let you know once I have contacted them.",NEUTRAL
41164637,Call me just left you a voicemail,NEUTRAL
41164635,im in the lobby now,NEUTRAL
41164615,Hi Mike cabin filter was pretty dirty. Thank you for showing me.,NEUTRAL
10000074,I didn't know you where suppose to Rev it to a certain rpm after an oil change,NEUTRAL
41164600,Ok could you pls send me the cost for tires and the headlight. Thank you,NEUTRAL
41164596,Are those the tires that are on the vehicle now?,NEUTRAL
41164590,Can you please call my cell?  I have to submit an estimate to the insurance company via email.,NEUTRAL
10000075,"She has an appointment with you Thursday at 10.
The driver headlight is on bright and the passenger is regular. 
Also, she went to use the wipers and the driver one is messed up.",NEUTRAL
41164534,Hi does the estimate also include fixing the battery acid leak?,NEUTRAL
41721495,Are you working today,NEUTRAL
41164521,"Thanks, I just need to know how severe and needed each item is",NEUTRAL
41164517,Is that covered under the warranty?,NEUTRAL
41164515,"I would just like to do the fuel pump today, I will talk to the seller about the drive belts. ",NEUTRAL
41164512,Garcia,NEUTRAL
41164491,The mirror does not fold in the same way the passenger door mirror does,NEUTRAL
41164461,Ok just oil change and tire rotation for today. Thank you,NEUTRAL
10000079,Don't worry about the cabin filter,NEUTRAL
41780440,Hello?,NEUTRAL
41164410,How much to replace the lug caps and lug bolts that are missing?,NEUTRAL
41164396,"Good morning, wanted to get an update on that idealnutrition van please.Do have an estimate of when it will be avaliable for pick up?",NEUTRAL
41164367,Can I bring it in around 2pm?,NEUTRAL
41164364,"Liked “Hi CHARLES, this is Chris Alston at Audi Richmond.…”",NEUTRAL
41164358,"Hi, can you give me a call please, 978-846-0272",NEUTRAL
41164343,Can we replace those today?,NEUTRAL
10000082,"Hi Abel, has the car been started on? I do have class and have to leave before 10. I can ask ways reschedule if it hasn't been started on. ",NEUTRAL
41164307,Thank you. We will pick it up today around 5:30,NEUTRAL
41450798,Ok thanks for letting me know.,NEUTRAL
41164280,Yes indeed... btw we good for tomorrow at 9:00 dropped off... what was the email subject tit???,NEUTRAL
41164272,When is the last time this vehicle new diff and transfer case fluids?,NEUTRAL
41164253,Go ahead and take care of it too,NEUTRAL
41164252,Do you have an estimate of when my vehicle will be ready?,NEUTRAL
10000084,Let's do that then,NEUTRAL
41164212,"However, one item of detail.  All four of the tires are not of the same age given a flat occurred on one of the tires.  I do know the other three are getting ready for replacement in a few months given my driving plans. ",NEUTRAL
41771825,Got it,NEUTRAL
41164189,Thank you. Were they able to get it over to check on the axle leak? I called and spoke to Tim.,NEUTRAL
10000086,Thanks. As for everything else do the filters and the valve cover and oil change/tire rotation. I don't need the wipers. Let me know what the total would be with whatever the battery ends up being.,NEUTRAL
41164167,"Good morning, Melissa can you call me about scheduling my truck in when you have a chance? I talked to Rick this morning about an issue with my alternator. Thank you! ",NEUTRAL
41164151,"Yep I understand, I had replaced the passenger side myself a while ago, it was also badly rusted, fortunately I had loosened it by catching the edge of it with a chisel.   ",NEUTRAL
41430071,Received. Thank you.,NEUTRAL
41164145,I want to use my gm rewards on the bill.  Can you facilitate?,NEUTRAL
10000088,"I didn't know that , every time I get a rental car with any Hyundai dealership as soon as they reserve my vehicle they'd make me a reservation for Enterprise ",NEUTRAL
10000089,This car is my daughters car that she'll take to college in the fall in Iowa.  That's how it gets used so I'm open to recommendations,NEUTRAL
41164129,Understood and thank you,NEUTRAL
41164120,Do The air filter if needed,NEUTRAL
41763792,Is the car ready?,NEUTRAL
41164110,I can come and get it whenever John is available for a shuttle.,NEUTRAL
41164107,The air filter if needed,NEUTRAL
10000090,"Logistics are fun!  Thanks for letting me know. Driving the Armada is like driving a tank, but at least I'm able to use it for my staging!",NEUTRAL
41164090,When can we get this done?,NEUTRAL
41164077,Good morning. Not today. Tomorrow it will be from 6:45-5:30.,NEUTRAL
41164075,Good morning. Looking for an update when one is available. Thanks!,NEUTRAL
41164074,Ok where are we going to drop Rental and where we go to check to pickup my vehicle,NEUTRAL
10000091,I'll take a look now,NEUTRAL
41164057,The two fluids were done elsewhere,NEUTRAL
10000092,Great! I'll be interested in getting that info when it rolls in. I'll check in on that,NEUTRAL
41289357,How long will the repair take?,NEUTRAL
10000093,"Hi Johnny. Forgot to tell you that my Q5, when slowing slightly and turning into an incline, often feels like it's hesitating - no brakes on, in fact I'm on the gas pedal when it happens. Not every time but often enough. Don't know if this makes sense but could your guys check it out. Only on an incline- and not a steep one!",NEUTRAL
41164038,Yes please proceed. How long will it take?,NEUTRAL
41164041,Can you tell me when that work was done? Was it last April?,NEUTRAL
41439313,Not my car,NEUTRAL
41164009,"Yes, I would like to move forward with the Continentals, however I must first have you confirm that I will be able to keep the loaner car til 5:30 pm tomorrow since the tires need ordered. Please advise. ",NEUTRAL
41164008,I can come around opening if that works? Is it 7am?,NEUTRAL
10000094,"I also have a 2018 Atlas, and it says ""check coolant""
Can I schedule something with you this week",NEUTRAL
10000095,"Hi Anthony,
Any word on my little Fit yet?  
Thanks!
Liz Johnson",NEUTRAL
41164000,Chadshaferpt@gmail.com,NEUTRAL
41163980,Decline for now but looking to get it done mid march,NEUTRAL
41276702,Got it !,NEUTRAL
41163951,Was this done last month when we were in?,NEUTRAL
41163937,How do I find out if my warranty includes a rental car?,NEUTRAL
41163935,This is Mary again,NEUTRAL
41163932,"I really didnt pay attention to the noise, I was pulling out then I seen the light come on and I turned right back around, the only thing while I was there, when they finished changing the oil he told me to Rev it to 300 rpm, I guess it was to see if no oil came out",NEUTRAL
41163922,Hi Alia,NEUTRAL
41163911,"Okay John, have a blessed day. ",NEUTRAL
10000099,"Hey Matt, besides getting your phone number for my sister, I was needing the Vin number from my jeep… I'm on the Chrysler national website checking out the warranty and they need my Vin number",NEUTRAL
10000100,I'll be in on Saturday,NEUTRAL
41163880,I recently had my tires rotated.  So you can skip that if it saves me a little money.,NEUTRAL
10000101,I'm on my way now,NEUTRAL
41163865,Can you tell me how much longer it will be? Thank you.,NEUTRAL
41163860,Thank you! What is the cost of replacing those filters?,NEUTRAL
41163859,I should be there in about 30-40min to pick up the car,NEUTRAL
41163844,Could you please send me the email,NEUTRAL
10000103,Hi Terry.   This is Jeremy Bireley.   I reached out to Steve but I understand he is out all week.  Just wondered if you had an update on the RV?    The oil change is fairly routine.   If you guys want to wait for Steve's return for the check engine since he is familiar with the vehicle that is fine.   Steve is back Monday I think.   Please let me know thoughts.  Thx,NEUTRAL
41163806,"Hello! I came to look at the used cars, but I am still in the property. Just letting you know!",NEUTRAL
10000104,"Happy to do so!
But I have not received the email yet",NEUTRAL
10000105,"Go ahead and do everything except brake fluid exchange , new tires and fuel induction. 

So please go ahead and do the following. 
Water pump 

Caster/camber with alignment

Transmission fluid exchange
",NEUTRAL
41163768,Thank you. Should I go to the desk now in service?,NEUTRAL
41163740,Sure enough. What works for you?,NEUTRAL
41163747,Is my car ready today? Frank Uible,NEUTRAL
10000106,Since we will be trading it in for a new model I don't want to pay for brakes if I don't have to,NEUTRAL
41307885,Any idea when it might be ready?,NEUTRAL
41708014,Warranty,NEUTRAL
41163665,Also please proceed to change oil transmission and replace brake fluid... Thank you!,NEUTRAL
10000107,Will do. I'll have to take pictures of them all. Not sure how well they will transfer over to you.,NEUTRAL
10000108,"Okay let's do the Michelin tires and the front and back brakes.

I'm going to hold off on the bushings for now and bring it back in a couple months for that as long as y'all think it won't turn into a Flintstone car in the meantime lol

What do you charge for a synthetic oil change? And can we fit that in?

Feel free to take two or three days to get the work done so I can continue to enjoy my beautiful Ascent  ... You guys wouldn't have one of those on the lot for around $20,000 would you?",NEUTRAL
10000109,"Hi DJ, i'll ok the air filter at this time. The rest I'll get done at a later time. Thanks. ",NEUTRAL
41163625,Hi Anthony I have tire insurance. Could you pls check if the changes is covered . If yes please proceed.,NEUTRAL
41163624,You can see there is a message on the right side concerning the tire and it says update engine manually.,NEUTRAL
41163600,I already did one,NEUTRAL
41776100,5,NEUTRAL
10000110,I didn't.,NEUTRAL
41163586,goodmorning Todd did u return my money on credit card?,NEUTRAL
10000111,All I can see is a still of the engine. It's not playing like usual but it's ok unless there is something specific the mechanic wanted me to see,NEUTRAL
41163574,On my way to pick up the car. Thank you.,NEUTRAL
10000112,"Kevin, I'm going to hold off on the belt change. Let's keep those for re-use. Thanks.",NEUTRAL
10000113,"Hi Chris 
How's my ride coming?  I need to get to work ",NEUTRAL
41163538,All taken care of,NEUTRAL
41163525,"I will pick it up tomorrow, can someone please send me he bill to review",NEUTRAL
10000115,I believe there's is a tire rotation or something that goes along with it if you could do that as well?,NEUTRAL
41163503,Yes go ahead and replace the axle bolt.,NEUTRAL
41592134,Did the parts come in yesterday?,NEUTRAL
41163499,Understand.,NEUTRAL
10000116,"Hi Brett,
This is David Clarkson. I'll follow up with a call but the car has a couple of issues since the servicing yesterday. It drifts to the right so I think the alignment that was done yesterday needs to be checked and something wasn't completed correctly in the tire balance and rotation. See the picture.",NEUTRAL
41163490,Awesome but the sound kinda faded out when he was on the passenger side and said there was a small leak.,NEUTRAL
10000117,Thanks!  A couple of questions.  I think I bought those tires from you guys so is there any credit for the warrantee because they really don't have that many miles.  Also I see there are some coupons online can any of those be applied.,NEUTRAL
41163477,Ok. I u dress and.,NEUTRAL
10000118,"No worries. I need to pick up my granddaughter at Agnes Irwin today, so AD is on the way.  See you later. 
VZ",NEUTRAL
10000121,So you guys don't do reservation for Enterprise,NEUTRAL
41163412,There are two different air filters? He called them both cabin air filters. The first one was what? The second one is the same thing?,NEUTRAL
10000123,"I am currently at work, but could you send me the brand of the wheels so I know what tool I'm looking for when I get home?",NEUTRAL
41163381,Thank you. I also reviewed the recommended work from my last service that I wasnt able to do then so I imagine yhe estimate you sent is on top of that 700-800 estimate I went over this morning.  Just yo make sure we are on the same page,NEUTRAL
10000124,"Ok, let's replace the battery when i bring the car back for the valve. ",NEUTRAL
10000125,Thanks! I'll take care of the air filter and key fob battery replacement on my own.,NEUTRAL
41744315,Do both,NEUTRAL
41163374,"The video is a nice feature. Thank you. So I can plan a future service appointment,  how long does it take to replace the cooler lines ?",NEUTRAL
41163361,Thanks.  Go ahead and change the filter.  What is the warranty on the battery if it is replaced?,NEUTRAL
41163329,I believe there is one left on the  Jeep Wave account,NEUTRAL
41163328,Thanks for the update.  How long will it take to fix a/c and estimated cost?,NEUTRAL
41568947,Replace air filter please,NEUTRAL
10000126,"Morning. I let Chris B. know I had an appointment this morning, but it may be best for you to reach me it to him. For the tire, I just needed to replace the cap for the air plug. It's missing a cap. Not sure if that is the correct term.",NEUTRAL
41163317,"Hey Tim , I did need a reservation for a Rental car",NEUTRAL
41163310,Of course we have a tournament in Boston next week:(. Thanks again.,NEUTRAL
41163299,Liked “Thanks for choosing Hiley VW of Huntsville for you…”,NEUTRAL
41163280,"Video is choppy, bad wifi at the restaurant, will be back shortly, pls change the rear wiper Blade insert",NEUTRAL
41163278,"Liked “Good morning, We will have your Audi washed and re…”",NEUTRAL
41163277,"Good Morning Jason, I was going to come by for the oil change now. But I know and appreciate that you are working me in. If there is a better time for you, please let me know. Thanks, Lee. ",NEUTRAL
41163269,I guess you can add on an oil change while you have it,NEUTRAL
41755653,How much do I owe?,NEUTRAL
10000127,"Hello, because of the weather condition this morning I won't make it. Can I come in tomorrow morning Thursday? Thanks.",NEUTRAL
41725288,Ok go ahead,NEUTRAL
41163254,Good Morning Tracy.  Do you have an ETA for us?  Thanks,NEUTRAL
41163253,The only time my tires were rotated or touched was the last time I was at Smart motors,NEUTRAL
10000128,"No, let's just go with the oil change and tire rotation today. Thank you!",NEUTRAL
10000129,It's ok! I will def need a ride back to work. I can do any day this week. Next week any day but Mon,NEUTRAL
41163222,"Yes, please give me a call on this number ",NEUTRAL
41163216,"Hello Jonathan, thank you for the update",NEUTRAL
41163215,Great.  Carwash?,NEUTRAL
41163211,I have all of the receipts. Let me know how you want me to get them to you.,NEUTRAL
41163198,"Okay, any suggestions on how to fix it ",NEUTRAL
41689971,Today,NEUTRAL
41163181,No. I will just pay by card and complain to Brad about the 3%. Thanks,NEUTRAL
41774690,Not today,NEUTRAL
10000130,Ok. I'll come pay for it and pick it up. We will do the thermostat and bring it back. Will you be able to fix it after that and when can you schedule it in?,NEUTRAL
41163145,you guys recommend for that type of situation?,NEUTRAL
10000132,"For sure, that's a good suggestion, thanks! Also for spring I might need to get some new tires. I have one of my all seasons with a slow leak. What would",NEUTRAL
41692933,Yes I do,NEUTRAL
10000133,"Hi,
My name is Liz ",NEUTRAL
10000134,No they're Michelin Primacy A/S.,NEUTRAL
41783557,Yes please,NEUTRAL
41163095,"Good Morning James, Any update on my car ",NEUTRAL
41163092,Im just trying to figure out if i have to being it in or not. It does it about 4-5 times continuously as im driving.,NEUTRAL
10000135,"I liked the video. But there was a message indicating something going on when the right back side tire. When I was driving it, it would pull/weave.  Can it be driving to see what I'm talking about?",NEUTRAL
41163049,Can I have my car by Thursday...?,NEUTRAL
41163046,Good. Is it ready?,NEUTRAL
41163037,"Hi Ian, hope all is well! Please call me back. My car is acting up and keeps showing me a caution screen. ",NEUTRAL
10000136,Ok. I'll leave early,NEUTRAL
41163018,Yes can you add the key fob battery please,NEUTRAL
41163014,This is Sophia McCall my husband is Earnest what did you find out for us?,NEUTRAL
41162986,10765 White Aspen Ln,NEUTRAL
41597369,How much to replace filters,NEUTRAL
41162957,Cool no worries,NEUTRAL
41162956,Boca Woods Country Club,NEUTRAL
41162949,Go ahead on brake fluid.  Thanks,NEUTRAL
10000138,Please let them know I don't want a wash,NEUTRAL
41162899,Ok--on my way out!,NEUTRAL
41162886,Nvmd I got it!,NEUTRAL
41162878,I canceled the ride,NEUTRAL
10000140,Thanks Geoff.  I'll skip the antenna repair.,NEUTRAL
10000141,I don't recall ever seeing them or the box of hardware for that matter. I know I wouldn't have thrown them out but I checked my garage & don't have them.,NEUTRAL
41162869,It should be North Park Subaru,NEUTRAL
41162858,You set the destination to my home address,NEUTRAL
10000142,"Great  
I really need my truck . You know anyone looking for an E36 ? ",NEUTRAL
41162844,I believe the destination is messed up,NEUTRAL
41162841,Could you send me the Shuttle?,NEUTRAL
41760774,Ok!,NEUTRAL
41162824,Luke*,NEUTRAL
41162822,Hello Like,NEUTRAL
41162819,Hola Megan,NEUTRAL
10000144,"??? to ""?OK. I'll add it to the ticket?""?",NEUTRAL
41162817,I just got the second text and signed off on everything. Thank you!,NEUTRAL
10000145,"State Farm 
Claim #?46-44X1-47X",NEUTRAL
41162769,Driving now. I will look when I get in.,NEUTRAL
10000147,"Hey Andrew, I'm leaving the dealership. I'll just be a few minutes away whenever the car's ready. Thank you! ",NEUTRAL
10000148,"Hi Beth, just sent you an email of things I'd like to entertain to try and save the car.",NEUTRAL
41162726,Thanks Ellen is on her way - it will take her probably an hour before she can get there,NEUTRAL
10000149,"We made an appointment to drop off and swap for loaner at 2PM. The service rep that made the appointment suggested a Highlander or 4Runner is available for the one-day rental, given we're considering both models as our next purchase. See you then. ",NEUTRAL
41162709,On my way from Bluebonnet area!,NEUTRAL
41162689,Is there a chance you get to my car today?,NEUTRAL
41772239,7,NEUTRAL
41162663,Did the whole engine mess up,NEUTRAL
41322757,I am,NEUTRAL
10000152,"Good morning Andy
Can you please call me when you get a chance 
Thank you ",NEUTRAL
41162606,"Thank you, I will stop by around 415 to grab it.",NEUTRAL
41162597,Excellent! Will go over there this AM to do a swap,NEUTRAL
41162596,"Change the wipers, engine filter and battery service. Thank you ",NEUTRAL
10000153,"Hi it's Jaziel , Ramon's son",NEUTRAL
41162560,Ok on my way thank you,NEUTRAL
41781552,Ok sounds good,NEUTRAL
10000155,"Ok thanks so much. I'll look around town for pricing, will let you guys know soon if I'm going for that, but won't ask for that today",NEUTRAL
41780517,8,NEUTRAL
41162432,It was unique for sure. Brief and enjoyable.,NEUTRAL
41162424,Good Morning??? Stil checking?  And btw is it under warranty?,NEUTRAL
41162417,PO-1073,NEUTRAL
41162412,Ok. Please go ahead and fix it.,NEUTRAL
41162406,Can we reseal the 2 existing tires? I plan on trading in the vehicle in the fall and just need to get a few more months out of them.,NEUTRAL
41162394,"If so, I would like to hold off on the new tires for now but am definitely interested in the alignment. How much for caster/camber kit with alignment with no new tires included? ",NEUTRAL
10000157,"Are they sure the compression issue would cause the start problem? And not a fuel system problem? Starting has been a little slow sometimes, mostly when warmed up like at the gas station. I wouldn't want to spend that much money to repair it.",NEUTRAL
41162388,*wifi,NEUTRAL
10000158,So I think it's covered,NEUTRAL
41162385,"Just the oil change and rotation please, thank you",NEUTRAL
41162382,Hi Will how do I connect to the wife,NEUTRAL
10000159,That information isn't in the glove compartment,NEUTRAL
41162363,Hey bud forgot to mention we bought a service contract,NEUTRAL
10000160,"I have watched it, and I don't fully understand the measurement he gave. Just looking at the tires, I don't see why they need to be replaced. ",NEUTRAL
41162346,U2,NEUTRAL
10000162,"Interesting. My car does make the "" whirling whistle' sound too. Ok. Thanks for checking.",NEUTRAL
41162320,"I am sory, I will come and drop at 1Pm, thankyou ",NEUTRAL
41162303,Please proceed break fluid replacement,NEUTRAL
10000164,At this point. I'd like to make it Saturday morning. I don't want to miss any work. Is that possible?,NEUTRAL
41162302,I have used the sun bit before is that an option?,NEUTRAL
41162292,"Just tried, was initially declined but we approved through our bank. Do I need to process again?",NEUTRAL
41162278,How much does it cost to resurface the front rotors?,NEUTRAL
41162276,I can come Thursday,NEUTRAL
41162252,That price includes 2 new tires?,NEUTRAL
41162231,Eight.,NEUTRAL
41162229,Ok see you. Today,NEUTRAL
41162216,"Okay go ahead and change, also need new front windshield wipers. Thanks",NEUTRAL
41162198,What is the ETA. And is there any word on the DVD player,NEUTRAL
41162193,McDonough Georgia,NEUTRAL
41162121,Great! We will plan to pick it up around lunch hour,NEUTRAL
41162109,313 steamwood lane,NEUTRAL
10000165,"15404 Wilson's snipe ct , cypress 77433",NEUTRAL
41705450,No thanks!,NEUTRAL
10000166,Thanks. Is the warranty company coming today? Any chance I could get a new model grand Cherokee or a wagoneer? I am considering buying a new vehicle and wouldn't mind testing driving one while I have a rental.,NEUTRAL
